date_utc,amount,direction,indexPrice,instrument,iv,price,quantity,tickDirection,timeStamp,tradeId,tradeSeq
2019-04-02 09:42:56.329,0.2,buy,4793.69,BTC-12APR19-5000-P,59.3,0.065,0.2,1,1554198176329,17100628,1
2019-04-02 20:23:20.198,0.1,buy,4805.92,BTC-12APR19-5000-P,60.35,0.063,0.1,2,1554236600198,17131214,2
2019-04-03 01:57:41.286,1.0,sell,4983.71,BTC-12APR19-5000-P,73.68,0.0485,1.0,2,1554256661286,17166402,3
2019-04-03 02:19:01.273,18.0,buy,4989.77,BTC-12APR19-5000-P,85.81,0.0555,18.0,0,1554257941273,17168594,4
2019-04-03 03:25:41.419,1.0,sell,5046.46,BTC-12APR19-5000-P,88.92,0.0515,1.0,2,1554261941419,17177466,5
2019-04-03 04:01:11.180,1.0,sell,5042.24,BTC-12APR19-5000-P,78.8,0.0455,1.0,2,1554264071180,17179445,6
2019-04-03 05:27:00.906,0.1,sell,4967.58,BTC-12APR19-5000-P,77.82,0.0525,0.1,0,1554269220906,17188209,7
2019-04-03 11:01:31.650,0.3,buy,4953.56,BTC-12APR19-5000-P,72.29,0.05,0.3,2,1554289291650,17194100,8
2019-04-03 13:08:56.085,18.0,buy,5015.1,BTC-12APR19-5000-P,83.38,0.05,18.0,3,1554296936085,17199737,9
2019-04-03 14:45:18.816,2.0,sell,5025.58,BTC-12APR19-5000-P,78.91,0.046,2.0,2,1554302718816,17203933,10
2019-04-03 16:11:32.615,0.1,buy,5077.46,BTC-12APR19-5000-P,78.34,0.0405,0.1,2,1554307892615,17208826,11
2019-04-03 16:11:34.975,0.1,buy,5077.33,BTC-12APR19-5000-P,78.32,0.0405,0.1,3,1554307894975,17208852,12
2019-04-03 16:11:37.012,0.1,buy,5076.31,BTC-12APR19-5000-P,78.17,0.0405,0.1,3,1554307897012,17208875,13
2019-04-03 16:11:39.965,5.3,buy,5071.87,BTC-12APR19-5000-P,77.49,0.0405,5.3,3,1554307899965,17208889,14
2019-04-03 16:11:41.338,1.1,buy,5069.75,BTC-12APR19-5000-P,77.17,0.0405,1.1,3,1554307901338,17208909,15
2019-04-03 16:11:42.686,0.9,buy,5069.52,BTC-12APR19-5000-P,77.13,0.0405,0.9,3,1554307902686,17208934,16
2019-04-03 16:11:46.416,1.2,buy,5065.42,BTC-12APR19-5000-P,76.5,0.0405,1.2,3,1554307906416,17208946,17
2019-04-03 16:11:48.509,0.9,buy,5064.37,BTC-12APR19-5000-P,76.34,0.0405,0.9,3,1554307908509,17208964,18
2019-04-03 16:11:49.866,0.8,buy,5064.06,BTC-12APR19-5000-P,76.29,0.0405,0.8,3,1554307909866,17208990,19
2019-04-03 16:11:53.199,0.7000000000000001,buy,5053.02,BTC-12APR19-5000-P,74.57,0.0405,0.7000000000000001,3,1554307913199,17209056,20
2019-04-03 16:11:56.184,11.0,buy,5052.28,BTC-12APR19-5000-P,74.46,0.0405,11.0,3,1554307916184,17209082,21
2019-04-03 16:11:56.342,1.8,buy,5052.28,BTC-12APR19-5000-P,74.46,0.0405,1.8,3,1554307916342,17209083,22
2019-04-03 16:19:31.568,0.1,sell,5122.83,BTC-12APR19-5000-P,80.05,0.0375,0.1,2,1554308371568,17210842,23
2019-04-03 16:32:59.164,0.1,buy,5092.99,BTC-12APR19-5000-P,80.75,0.0405,0.1,0,1554309179164,17212691,24
2019-04-03 16:33:04.593,0.1,buy,5088.75,BTC-12APR19-5000-P,80.95,0.041,0.1,0,1554309184593,17212704,25
2019-04-03 18:45:59.915,0.1,sell,5176.72,BTC-12APR19-5000-P,89.81,0.0385,0.1,2,1554317159915,17223594,26
2019-04-03 21:55:00.406,1.0,buy,5256.52,BTC-12APR19-5000-P,89.5,0.032,1.0,2,1554328500406,17244026,27
2019-04-04 03:44:57.096,0.5,buy,4958.17,BTC-12APR19-5000-P,82.05,0.0535,0.5,0,1554349497096,17289924,28
2019-04-04 11:02:35.519,1.0,buy,4950.97,BTC-12APR19-5000-P,86.5,0.056,1.0,0,1554375755519,17301913,29
2019-04-04 15:14:30.020,0.5,buy,4986.29,BTC-12APR19-5000-P,76.07,0.0455,0.5,2,1554390870020,17311598,30
2019-04-04 19:12:48.459,0.2,sell,4862.0,BTC-12APR19-5000-P,71.92,0.0575,0.2,0,1554405168459,17326076,31
2019-04-04 19:13:08.381,0.2,sell,4862.94,BTC-12APR19-5000-P,73.04,0.057999999999999996,0.2,0,1554405188381,17326088,32
2019-04-04 21:29:27.687,0.4,buy,4912.76,BTC-12APR19-5000-P,79.36,0.055,0.4,2,1554413367687,17336924,33
