date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-03-01,BTC,15MAR19,3625,P,0.016,49.44,5,3832.81,BTC-15MAR19-3625-P
2019-03-02,BTC,15MAR19,3625,P,0.019,51.15,8,3798.64,BTC-15MAR19-3625-P
2019-03-03,BTC,15MAR19,3625,P,0.021,54.59,7,3775.61,BTC-15MAR19-3625-P
2019-03-04,BTC,15MAR19,3625,P,0.027000000000000003,53.43,17,3694.12,BTC-15MAR19-3625-P
2019-03-05,BTC,15MAR19,3625,P,0.0125,53.68,32,3843.6,BTC-15MAR19-3625-P
2019-03-06,BTC,15MAR19,3625,P,0.011,53.49,21,3842.23,BTC-15MAR19-3625-P
2019-03-07,BTC,15MAR19,3625,P,0.0065,48.21,17,3865.13,BTC-15MAR19-3625-P
2019-03-08,BTC,15MAR19,3625,P,0.006,46.13,30,3828.58,BTC-15MAR19-3625-P
2019-03-09,BTC,15MAR19,3625,P,0.003,48.57,12,3903.68,BTC-15MAR19-3625-P
2019-03-10,BTC,15MAR19,3625,P,0.001,42.05,10,3903.4,BTC-15MAR19-3625-P
2019-03-11,BTC,15MAR19,3625,P,0.003,51.66,27,3846.03,BTC-15MAR19-3625-P
2019-03-12,BTC,15MAR19,3625,P,0.0005,40.46,15,3865.41,BTC-15MAR19-3625-P
2019-03-13,BTC,15MAR19,3625,P,0.0005,57.65,3,3852.54,BTC-15MAR19-3625-P
2019-03-14,BTC,15MAR19,3625,P,0.001,68.48,2,3846.0,BTC-15MAR19-3625-P
