date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-05-03,BTC,17MAY19,5250,P,0.016,60.9,9,5699.38,BTC-17MAY19-5250-P
2019-05-04,BTC,17MAY19,5250,P,0.0125,64.67,8,5806.95,BTC-17MAY19-5250-P
2019-05-05,BTC,17MAY19,5250,P,0.015,66.72,3,5729.32,BTC-17MAY19-5250-P
2019-05-06,BTC,17MAY19,5250,P,0.015,67.44,14,5706.83,BTC-17MAY19-5250-P
2019-05-07,BTC,17MAY19,5250,P,0.0125,71.39,6,5769.05,BTC-17MAY19-5250-P
2019-05-08,BTC,17MAY19,5250,P,0.008,71.77,5,5886.18,BTC-17MAY19-5250-P
2019-05-09,BTC,17MAY19,5250,P,0.004,79.34,8,6135.28,BTC-17MAY19-5250-P
2019-05-10,BTC,17MAY19,5250,P,0.003,93.9,17,6371.17,BTC-17MAY19-5250-P
2019-05-11,BTC,17MAY19,5250,P,0.0015,146.59,21,7406.9,BTC-17MAY19-5250-P
2019-05-12,BTC,17MAY19,5250,P,0.0005,134.49,7,7526.18,BTC-17MAY19-5250-P
