date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-05-03,BTC,17MAY19,5750,C,0.0435,61.69,10,5700.41,BTC-17MAY19-5750-C
2019-05-04,BTC,17MAY19,5750,C,0.047,55.14,11,5824.61,BTC-17MAY19-5750-C
2019-05-05,BTC,17MAY19,5750,C,0.0385,56.26,2,5735.61,BTC-17MAY19-5750-C
2019-05-06,BTC,17MAY19,5750,C,0.0365,60.13,13,5699.58,BTC-17MAY19-5750-C
2019-05-07,BTC,17MAY19,5750,C,0.0415,63.04,11,5765.37,BTC-17MAY19-5750-C
2019-05-08,BTC,17MAY19,5750,C,0.052000000000000005,57.51,35,5935.55,BTC-17MAY19-5750-C
2019-05-09,BTC,17MAY19,5750,C,0.075,59.48,9,6150.47,BTC-17MAY19-5750-C
2019-05-10,BTC,17MAY19,5750,C,0.1,64.24,21,6355.28,BTC-17MAY19-5750-C
2019-05-11,BTC,17MAY19,5750,C,0.1545,78.68,57,6786.38,BTC-17MAY19-5750-C
2019-05-12,BTC,17MAY19,5750,C,0.236,0.0,6,7533.86,BTC-17MAY19-5750-C
