date_utc,amount,direction,indexPrice,instrument,iv,price,quantity,tickDirection,timeStamp,tradeId,tradeSeq
2019-02-14 10:11:53.363,0.5,sell,3564.51,BTC-22FEB19-3625-C,49.33,0.0215,0.5,1,1550139113363,15360007,1
2019-02-14 10:29:25.517,5.4,buy,3557.9,BTC-22FEB19-3625-C,50.65,0.0215,5.4,1,1550140165517,15361576,2
2019-02-14 10:52:00.189,0.6,buy,3564.31,BTC-22FEB19-3625-C,49.45,0.0215,0.6,1,1550141520189,15362020,3
2019-02-14 11:50:04.783,2.0,buy,3556.51,BTC-22FEB19-3625-C,51.1,0.0215,2.0,1,1550145004783,15366042,4
2019-02-14 12:38:40.020,0.5,buy,3561.81,BTC-22FEB19-3625-C,51.05,0.022,0.5,0,1550147920020,15367618,5
2019-02-14 12:44:24.236,0.5,sell,3560.94,BTC-22FEB19-3625-C,47.73,0.02,0.5,2,1550148264236,15367717,6
2019-02-14 12:49:51.682,0.5,sell,3559.75,BTC-22FEB19-3625-C,47.97,0.02,0.5,3,1550148591682,15367768,7
2019-02-14 14:19:13.520,2.5,buy,3559.8,BTC-22FEB19-3625-C,49.03,0.0205,2.5,0,1550153953520,15368662,8
2019-02-14 18:27:43.981,1.0,sell,3574.96,BTC-22FEB19-3625-C,49.21,0.022,1.0,0,1550168863981,15372605,9
2019-02-14 18:28:14.644,1.0,sell,3574.93,BTC-22FEB19-3625-C,49.22,0.022,1.0,1,1550168894644,15372613,10
2019-02-14 21:50:06.148,0.5,buy,3569.43,BTC-22FEB19-3625-C,49.91,0.0215,0.5,2,1550181006148,15374658,11
2019-02-14 23:08:01.346,10.0,sell,3563.28,BTC-22FEB19-3625-C,50.45,0.021,10.0,2,1550185681346,15375391,12
2019-02-14 23:08:04.807,10.0,sell,3563.28,BTC-22FEB19-3625-C,50.45,0.021,10.0,3,1550185684807,15375392,13
2019-02-14 23:08:26.225,1.7,buy,3563.28,BTC-22FEB19-3625-C,47.74,0.0195,1.7,2,1550185706225,15375404,14
2019-02-15 00:34:25.428,0.5,sell,3567.46,BTC-22FEB19-3625-C,46.19,0.019,0.5,2,1550190865428,15376685,15
2019-02-15 01:43:50.001,0.5,sell,3568.79,BTC-22FEB19-3625-C,46.07,0.019,0.5,3,1550195030001,15377093,16
2019-02-15 03:11:21.708,6.0,buy,3575.36,BTC-22FEB19-3625-C,46.73,0.02,6.0,0,1550200281708,15377662,17
2019-02-15 03:15:35.109,0.4,buy,3575.73,BTC-22FEB19-3625-C,47.57,0.0205,0.4,0,1550200535109,15377732,18
2019-02-15 03:15:46.129,3.1,buy,3575.69,BTC-22FEB19-3625-C,49.39,0.0215,3.1,0,1550200546129,15377735,19
2019-02-15 03:38:24.493,5.0,buy,3573.67,BTC-22FEB19-3625-C,48.05,0.0205,5.0,2,1550201904493,15377893,20
2019-02-15 03:38:32.529,1.6,buy,3573.67,BTC-22FEB19-3625-C,48.05,0.0205,1.6,3,1550201912529,15377894,21
2019-02-15 04:20:21.721,0.1,buy,3580.22,BTC-22FEB19-3625-C,47.68,0.021,0.1,0,1550204421721,15378994,22
2019-02-15 04:21:43.642,3.3000000000000003,buy,3582.91,BTC-22FEB19-3625-C,47.12,0.021,3.3000000000000003,1,1550204503642,15379117,23
2019-02-15 05:57:36.309,0.1,sell,3577.54,BTC-22FEB19-3625-C,47.57,0.0205,0.1,2,1550210256309,15380647,24
2019-02-15 05:57:36.309,4.9,sell,3577.54,BTC-22FEB19-3625-C,47.57,0.0205,4.9,3,1550210256309,15380648,25
2019-02-15 06:30:55.407,1.0,buy,3583.24,BTC-22FEB19-3625-C,47.34,0.021,1.0,0,1550212255407,15381114,26
2019-02-15 07:40:20.254,6.0,buy,3573.79,BTC-22FEB19-3625-C,51.35,0.022,6.0,0,1550216420254,15382141,27
2019-02-15 08:03:03.886,2.0,buy,3576.87,BTC-22FEB19-3625-C,52.59,0.023,2.0,0,1550217783886,15382426,28
2019-02-15 08:05:29.357,1.0,sell,3578.41,BTC-22FEB19-3625-C,51.35,0.0225,1.0,2,1550217929357,15382489,29
2019-02-15 08:06:52.991,6.0,sell,3579.42,BTC-22FEB19-3625-C,52.05,0.023,6.0,0,1550218012991,15382505,30
2019-02-15 08:07:28.238,2.5,sell,3579.84,BTC-22FEB19-3625-C,51.96,0.023,2.5,1,1550218048238,15382525,31
2019-02-15 08:10:41.945,0.1,buy,3579.55,BTC-22FEB19-3625-C,52.95,0.0235,0.1,0,1550218241945,15382667,32
2019-02-15 08:25:20.677,5.7,sell,3578.85,BTC-22FEB19-3625-C,49.47,0.0215,5.7,2,1550219120677,15382829,33
2019-02-15 10:36:19.991,0.5,buy,3577.0,BTC-22FEB19-3625-C,47.42,0.02,0.5,2,1550226979991,15384157,34
2019-02-15 10:52:35.157,25.0,buy,3580.84,BTC-22FEB19-3625-C,46.64,0.02,25.0,3,1550227955157,15384324,35
