date_utc,amount,direction,indexPrice,instrument,iv,price,quantity,tickDirection,timeStamp,tradeId,tradeSeq
2019-02-16 01:08:17.381,0.5,sell,3574.57,BTC-26APR19-3750-C,54.96,0.07400000000000001,0.5,1,1550279297381,15404106,1
2019-02-16 02:55:32.211,0.5,sell,3579.63,BTC-26APR19-3750-C,56.02,0.076,0.5,0,1550285732211,15405375,2
2019-02-16 03:00:10.176,1.0,sell,3581.1,BTC-26APR19-3750-C,56.05,0.076,1.0,1,1550286010176,15405414,3
2019-02-16 12:20:04.296,2.0,buy,3593.83,BTC-26APR19-3750-C,56.23,0.0785,2.0,0,1550319604296,15412964,4
2019-02-16 16:26:31.385,0.5,sell,3593.31,BTC-26APR19-3750-C,55.07,0.076,0.5,2,1550334391385,15421279,5
2019-02-17 03:34:13.124,1.0,sell,3588.88,BTC-26APR19-3750-C,54.48,0.07400000000000001,1.0,2,1550374453124,15427152,6
2019-02-17 10:32:57.198,0.5,buy,3634.8,BTC-26APR19-3750-C,55.71,0.0815,0.5,0,1550399577198,15436671,7
2019-02-17 14:18:52.723,3.0,sell,3572.18,BTC-26APR19-3750-C,56.26,0.0755,3.0,2,1550413132723,15448605,8
2019-02-17 17:15:09.222,0.1,buy,3573.06,BTC-26APR19-3750-C,56.51,0.0755,0.1,3,1550423709222,15450723,9
2019-02-17 18:40:12.324,3.0,buy,3570.7,BTC-26APR19-3750-C,56.19,0.075,3.0,2,1550428812324,15451452,10
2019-02-18 08:22:11.052,2.0,sell,3690.3,BTC-26APR19-3750-C,53.33,0.0835,2.0,0,1550478131052,15505213,11
2019-02-18 11:35:06.133,6.0,buy,3693.94,BTC-26APR19-3750-C,56.1,0.0885,6.0,0,1550489706133,15511749,12
2019-02-18 13:01:18.354,3.2,sell,3728.55,BTC-26APR19-3750-C,55.24,0.091,3.2,0,1550494878354,15520408,13
2019-02-18 15:12:35.436,3.0,sell,3788.94,BTC-26APR19-3750-C,55.22,0.0985,3.0,0,1550502755436,15545202,14
2019-02-19 23:41:10.868,2.0,buy,3891.42,BTC-26APR19-3750-C,61.38,0.122,2.0,0,1550619670868,15668902,16
2019-02-19 23:41:10.868,3.0,buy,3891.42,BTC-26APR19-3750-C,60.46,0.1205,3.0,0,1550619670868,15668901,15
2019-02-20 16:27:41.436,3.5,sell,3915.83,BTC-26APR19-3750-C,58.16,0.119,3.5,2,1550680061436,15705083,17
2019-02-20 18:23:37.471,0.2,sell,3918.66,BTC-26APR19-3750-C,58.08,0.119,0.2,3,1550687017471,15707575,18
2019-02-20 18:24:27.645,4.0,sell,3918.32,BTC-26APR19-3750-C,58.49,0.1195,4.0,0,1550687067645,15707583,19
2019-02-20 18:50:18.386,3.9,sell,3922.29,BTC-26APR19-3750-C,58.51,0.12,3.9,0,1550688618386,15708388,20
2019-02-20 19:02:16.778,4.0,sell,3922.33,BTC-26APR19-3750-C,57.95,0.1195,4.0,2,1550689336778,15708593,21
2019-02-20 19:58:14.783,3.0,buy,3924.0,BTC-26APR19-3750-C,60.4,0.1235,3.0,0,1550692694783,15709390,22
2019-02-20 23:47:29.395,8.0,sell,3930.45,BTC-26APR19-3750-C,58.4,0.1215,8.0,2,1550706449395,15714626,23
2019-02-21 00:24:03.920,8.0,sell,3924.02,BTC-26APR19-3750-C,58.44,0.12,8.0,2,1550708643920,15716947,24
2019-02-21 14:41:16.156,0.1,sell,3903.98,BTC-26APR19-3750-C,57.97,0.1175,0.1,2,1550760076156,15745254,25
2019-02-22 12:37:17.803,0.5,buy,3937.88,BTC-26APR19-3750-C,57.19,0.1205,0.5,0,1550839037803,15770698,26
2019-02-23 12:18:48.759,2.0,sell,3932.64,BTC-26APR19-3750-C,60.6,0.1225,2.0,0,1550924328759,15802339,27
2019-02-24 12:40:48.934,2.0,sell,4116.21,BTC-26APR19-3750-C,57.74,0.14300000000000002,2.0,0,1551012048934,15880371,28
2019-02-24 13:00:05.856,0.5,sell,4106.45,BTC-26APR19-3750-C,58.41,0.14300000000000002,0.5,1,1551013205856,15881002,29
2019-02-24 14:19:13.387,2.0,buy,3826.97,BTC-26APR19-3750-C,59.08,0.0975,2.0,2,1551017953387,15905717,30
2019-02-24 14:20:53.614,6.0,sell,3828.16,BTC-26APR19-3750-C,59.34,0.0985,6.0,0,1551018053614,15907478,31
2019-02-24 14:51:34.498,3.0,sell,3809.75,BTC-26APR19-3750-C,58.79,0.1,3.0,0,1551019894498,15926029,32
2019-02-24 15:12:04.447,1.4,sell,3816.79,BTC-26APR19-3750-C,59.28,0.1005,1.4,0,1551021124447,15932287,33
2019-02-25 10:08:46.231,6.0,sell,3774.19,BTC-26APR19-3750-C,60.72,0.099,6.0,2,1551089326231,15982092,34
2019-02-25 10:54:52.954,1.5,buy,3777.8,BTC-26APR19-3750-C,62.0,0.1015,1.5,0,1551092092954,15985382,35
2019-02-25 11:07:55.431,0.5,buy,3788.29,BTC-26APR19-3750-C,61.84,0.102,0.5,0,1551092875431,15985624,36
2019-02-25 15:55:15.275,0.1,buy,3790.98,BTC-26APR19-3750-C,61.8,0.102,0.1,1,1551110115275,15991617,37
2019-02-25 18:06:06.470,2.0,buy,3845.11,BTC-26APR19-3750-C,59.98,0.105,2.0,0,1551117966470,16002602,38
2019-02-25 18:06:07.150,0.8,sell,3845.64,BTC-26APR19-3750-C,59.94,0.105,0.8,1,1551117967150,16002607,39
2019-02-25 18:06:12.236,1.2,buy,3845.67,BTC-26APR19-3750-C,59.61,0.1045,1.2,2,1551117972236,16002641,40
2019-02-26 02:13:06.956,6.0,sell,3821.5,BTC-26APR19-3750-C,60.53,0.1035,6.0,2,1551147186956,16014354,41
2019-02-26 02:18:18.152,6.0,sell,3824.66,BTC-26APR19-3750-C,60.05,0.10300000000000001,6.0,2,1551147498152,16014422,42
2019-02-26 15:53:03.882,6.0,sell,3809.86,BTC-26APR19-3750-C,59.46,0.0995,6.0,2,1551196383882,16035139,43
2019-02-27 16:55:12.576,2.8000000000000003,sell,3801.69,BTC-26APR19-3750-C,57.21,0.0945,2.8000000000000003,2,1551286512576,16062939,44
2019-02-27 20:38:43.528,3.7,buy,3724.34,BTC-26APR19-3750-C,57.48,0.0865,3.7,2,1551299923528,16072533,45
2019-02-28 12:17:12.155,3.7,sell,3823.9,BTC-26APR19-3750-C,57.02,0.09699999999999999,3.7,0,1551356232155,16102440,46
2019-03-03 06:54:40.224,1.0,buy,3810.44,BTC-26APR19-3750-C,55.85,0.092,1.0,2,1551596080224,16185348,47
2019-03-03 17:10:52.594,2.0,sell,3789.97,BTC-26APR19-3750-C,55.71,0.0885,2.0,2,1551633052594,16196348,48
2019-03-04 05:16:59.290,3.0,sell,3716.33,BTC-26APR19-3750-C,54.68,0.078,3.0,2,1551676619290,16215446,49
2019-03-04 06:28:34.378,0.1,buy,3724.21,BTC-26APR19-3750-C,56.99,0.0825,0.1,0,1551680914378,16220446,50
2019-03-04 18:36:25.181,1.0,sell,3709.62,BTC-26APR19-3750-C,53.99,0.0755,1.0,2,1551724585181,16242118,51
2019-03-04 18:40:46.586,1.0,sell,3708.27,BTC-26APR19-3750-C,53.71,0.075,1.0,2,1551724846586,16242156,52
2019-03-05 12:37:44.127,3.6,buy,3738.93,BTC-26APR19-3750-C,54.83,0.0805,3.6,0,1551789464127,16256093,53
2019-03-05 13:14:23.175,3.4,buy,3760.06,BTC-26APR19-3750-C,54.58,0.083,3.4,0,1551791663175,16258893,54
2019-03-05 13:14:41.516,3.4,sell,3766.68,BTC-26APR19-3750-C,54.67,0.084,3.4,0,1551791681516,16259204,55
2019-03-05 13:44:56.720,3.1,buy,3811.45,BTC-26APR19-3750-C,54.98,0.0895,3.1,0,1551793496720,16265998,56
2019-03-05 20:37:56.229,1.0,sell,3845.53,BTC-26APR19-3750-C,53.93,0.0925,1.0,0,1551818276229,16294257,57
2019-03-06 01:25:02.807,1.5,buy,3822.56,BTC-26APR19-3750-C,56.18,0.0925,1.5,1,1551835502807,16301801,58
2019-03-06 16:43:59.163,4.0,sell,3849.08,BTC-26APR19-3750-C,53.68,0.0925,4.0,1,1551890639163,16325223,59
2019-03-07 00:03:51.827,1.0,buy,3864.48,BTC-26APR19-3750-C,53.73,0.0945,1.0,0,1551917031827,16329177,60
2019-03-07 05:01:57.927,1.5,sell,3884.6,BTC-26APR19-3750-C,52.95,0.096,1.5,0,1551934917927,16340714,61
2019-03-07 18:25:15.921,5.0,buy,3864.41,BTC-26APR19-3750-C,51.83,0.091,5.0,2,1551983115921,16360970,62
2019-03-12 13:17:31.523,5.0,sell,3868.23,BTC-26APR19-3750-C,50.08,0.084,5.0,2,1552396651523,16520248,63
2019-03-13 06:20:27.636,3.4,sell,3859.67,BTC-26APR19-3750-C,48.52,0.0805,3.4,2,1552458027636,16530090,66
2019-03-13 06:20:27.636,0.5,sell,3859.67,BTC-26APR19-3750-C,48.89,0.081,0.5,2,1552458027636,16530089,65
2019-03-13 06:20:27.636,0.1,sell,3859.67,BTC-26APR19-3750-C,49.27,0.0815,0.1,2,1552458027636,16530088,64
2019-03-14 11:18:37.225,7.0,sell,3846.52,BTC-26APR19-3750-C,48.73,0.0775,7.0,2,1552562317225,16552477,67
2019-03-14 14:12:13.623,2.0,buy,3897.56,BTC-26APR19-3750-C,48.74,0.084,2.0,0,1552572733623,16558064,68
2019-03-15 15:28:07.655,3.0,buy,3898.64,BTC-26APR19-3750-C,49.76,0.0855,3.0,0,1552663687655,16594101,69
2019-03-15 16:39:00.708,2.0,buy,3896.51,BTC-26APR19-3750-C,50.32,0.086,2.0,0,1552667940708,16597819,70
2019-03-15 16:39:15.027,0.3,buy,3896.51,BTC-26APR19-3750-C,50.42,0.086,0.3,1,1552667955027,16597840,71
2019-03-15 21:55:02.209,1.0,buy,3890.22,BTC-26APR19-3750-C,50.56,0.0855,1.0,2,1552686902209,16601761,72
2019-03-16 05:11:04.955,4.0,buy,4033.14,BTC-26APR19-3750-C,54.51,0.11,4.0,0,1552713064955,16629038,73
2019-03-16 05:11:08.042,4.0,buy,4032.29,BTC-26APR19-3750-C,54.7,0.11,4.0,1,1552713068042,16629048,74
2019-03-16 05:11:11.294,4.0,sell,4032.38,BTC-26APR19-3750-C,54.75,0.11,4.0,1,1552713071294,16629061,75
2019-03-16 08:55:55.446,1.8,sell,3995.01,BTC-26APR19-3750-C,50.61,0.0995,1.8,2,1552726555446,16636620,76
2019-03-16 08:56:01.544,0.2,buy,3995.01,BTC-26APR19-3750-C,50.61,0.0995,0.2,3,1552726561544,16636622,77
2019-03-16 08:56:37.717,1.0,sell,3994.87,BTC-26APR19-3750-C,50.62,0.0995,1.0,3,1552726597717,16636627,78
2019-03-16 16:55:25.350,1.3,sell,3984.39,BTC-26APR19-3750-C,49.91,0.0975,1.3,2,1552755325350,16647107,79
2019-03-16 16:56:35.628,1.0,sell,3984.48,BTC-26APR19-3750-C,49.91,0.0975,1.0,3,1552755395628,16647108,80
2019-03-16 21:22:21.595,3.0,sell,3980.71,BTC-26APR19-3750-C,49.07,0.0955,3.0,2,1552771341595,16649151,81
2019-03-17 07:49:42.679,1.0,buy,3952.89,BTC-26APR19-3750-C,51.23,0.094,1.0,2,1552808982679,16659009,82
2019-03-17 11:55:41.321,0.4,sell,3966.16,BTC-26APR19-3750-C,49.59,0.0935,0.4,2,1552823741321,16662012,83
2019-03-17 19:31:43.644,0.5,buy,3970.28,BTC-26APR19-3750-C,50.03,0.094,0.5,0,1552851103644,16666401,84
2019-03-18 00:03:49.683,3.0,sell,3962.47,BTC-26APR19-3750-C,49.15,0.0915,3.0,2,1552867429683,16668485,85
2019-03-18 00:05:04.713,3.0,sell,3962.5,BTC-26APR19-3750-C,49.43,0.092,3.0,0,1552867504713,16668629,86
2019-03-18 14:22:43.429,2.0,buy,3958.06,BTC-26APR19-3750-C,47.62,0.0895,2.0,2,1552918963429,16690513,87
2019-03-18 14:25:56.200,4.0,sell,3960.16,BTC-26APR19-3750-C,47.94,0.09,4.0,0,1552919156200,16690588,88
2019-03-18 15:32:36.908,6.0,sell,3963.05,BTC-26APR19-3750-C,48.21,0.09,6.0,1,1552923156908,16691241,89
2019-03-18 23:15:36.417,6.0,sell,3974.46,BTC-26APR19-3750-C,46.45,0.09,6.0,1,1552950936417,16694494,90
2019-03-18 23:59:10.851,6.4,sell,3969.84,BTC-26APR19-3750-C,46.12,0.08900000000000001,6.4,2,1552953550851,16695063,91
2019-03-18 23:59:24.767,3.2,sell,3969.85,BTC-26APR19-3750-C,45.69,0.0885,3.2,2,1552953564767,16695065,92
2019-03-18 23:59:24.767,0.4,sell,3969.85,BTC-26APR19-3750-C,45.69,0.0885,0.4,3,1552953564767,16695066,93
2019-03-19 15:09:28.063,6.0,sell,3972.39,BTC-26APR19-3750-C,46.75,0.0895,6.0,0,1553008168063,16707743,94
2019-03-19 15:09:28.446,4.0,buy,3972.39,BTC-26APR19-3750-C,46.75,0.0895,4.0,1,1553008168446,16707744,95
2019-03-20 00:37:12.463,0.1,sell,3991.83,BTC-26APR19-3750-C,47.87,0.0935,0.1,0,1553042232463,16719544,96
2019-03-20 19:22:07.495,3.2,sell,4010.67,BTC-26APR19-3750-C,45.5,0.0925,3.2,2,1553109727495,16738585,97
2019-03-20 19:22:07.495,6.5,sell,4010.67,BTC-26APR19-3750-C,45.5,0.0925,6.5,3,1553109727495,16738586,98
2019-03-20 19:22:08.274,0.3,buy,4010.67,BTC-26APR19-3750-C,45.5,0.0925,0.3,3,1553109728274,16738590,99
2019-03-21 06:32:57.881,0.2,sell,4025.48,BTC-26APR19-3750-C,44.1,0.09300000000000001,0.2,0,1553149977881,16748962,100
2019-03-21 06:32:57.881,2.8000000000000003,sell,4025.48,BTC-26APR19-3750-C,44.1,0.09300000000000001,2.8000000000000003,1,1553149977881,16748963,101
2019-03-21 14:37:59.772,6.0,sell,4000.02,BTC-26APR19-3750-C,46.64,0.091,6.0,2,1553179079772,16758642,102
2019-03-21 14:58:58.078,3.2,sell,3917.13,BTC-26APR19-3750-C,47.12,0.0795,3.2,2,1553180338078,16763138,103
2019-03-21 14:58:58.420,2.8000000000000003,sell,3917.13,BTC-26APR19-3750-C,47.55,0.08,2.8000000000000003,0,1553180338420,16763200,104
2019-03-21 15:04:00.168,3.2,buy,3964.59,BTC-26APR19-3750-C,46.9,0.086,3.2,0,1553180640168,16765562,105
2019-03-21 15:04:01.334,2.8000000000000003,sell,3965.46,BTC-26APR19-3750-C,46.91,0.086,2.8000000000000003,1,1553180641334,16765595,106
2019-03-21 19:59:06.271,3.2,buy,3973.71,BTC-26APR19-3750-C,46.28,0.087,3.2,0,1553198346271,16770934,107
2019-03-21 20:44:12.623,3.2,buy,3972.68,BTC-26APR19-3750-C,46.27,0.087,3.2,1,1553201052623,16771053,108
2019-03-21 22:45:59.523,1.0,sell,3985.31,BTC-26APR19-3750-C,46.39,0.08900000000000001,1.0,0,1553208359523,16772150,109
2019-03-21 22:48:20.059,1.0,sell,3980.64,BTC-26APR19-3750-C,46.69,0.0885,1.0,2,1553208500059,16772203,110
2019-03-21 22:54:12.888,1.0,sell,3976.67,BTC-26APR19-3750-C,46.63,0.08800000000000001,1.0,2,1553208852888,16772310,111
2019-03-22 02:14:39.431,6.0,sell,3979.8,BTC-26APR19-3750-C,45.78,0.0875,6.0,2,1553220879431,16773363,112
2019-03-22 06:15:53.067,0.2,sell,3972.64,BTC-26APR19-3750-C,45.63,0.0865,0.2,2,1553235353067,16774431,113
2019-03-22 06:50:03.144,0.2,sell,3972.75,BTC-26APR19-3750-C,45.1,0.0855,0.2,2,1553237403144,16774598,114
