date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-02-24,BTC,26APR19,5250,P,0.3915,49.56,1,3808.27,BTC-26APR19-5250-P
2019-03-13,BTC,26APR19,5250,P,0.0055,0.0,1,3857.15,BTC-26APR19-5250-P
2019-03-26,BTC,26APR19,5250,P,0.3545,73.11,1,3910.75,BTC-26APR19-5250-P
2019-04-02,BTC,26APR19,5250,P,0.11900000000000001,62.98,12,4827.55,BTC-26APR19-5250-P
2019-04-03,BTC,26APR19,5250,P,0.0755,82.51,20,5310.06,BTC-26APR19-5250-P
2019-04-05,BTC,26APR19,5250,P,0.0905,67.45,1,5024.31,BTC-26APR19-5250-P
2019-04-06,BTC,26APR19,5250,P,0.0815,62.96,4,5045.39,BTC-26APR19-5250-P
2019-04-07,BTC,26APR19,5250,P,0.071,71.27,4,5181.32,BTC-26APR19-5250-P
2019-04-08,BTC,26APR19,5250,P,0.0615,66.07,9,5213.73,BTC-26APR19-5250-P
2019-04-09,BTC,26APR19,5250,P,0.057999999999999996,64.02,4,5213.71,BTC-26APR19-5250-P
2019-04-10,BTC,26APR19,5250,P,0.048,62.22,34,5280.16,BTC-26APR19-5250-P
2019-04-11,BTC,26APR19,5250,P,0.0735,65.09,9,5063.27,BTC-26APR19-5250-P
2019-04-12,BTC,26APR19,5250,P,0.0635,59.18,2,5088.4,BTC-26APR19-5250-P
2019-04-13,BTC,26APR19,5250,P,0.059000000000000004,52.46,9,5073.21,BTC-26APR19-5250-P
2019-04-14,BTC,26APR19,5250,P,0.048,54.94,13,5163.36,BTC-26APR19-5250-P
2019-04-15,BTC,26APR19,5250,P,0.0665,54.45,12,5009.12,BTC-26APR19-5250-P
2019-04-16,BTC,26APR19,5250,P,0.037000000000000005,47.86,20,5191.04,BTC-26APR19-5250-P
2019-04-17,BTC,26APR19,5250,P,0.034,50.08,15,5217.22,BTC-26APR19-5250-P
2019-04-18,BTC,26APR19,5250,P,0.0265,51.62,8,5296.07,BTC-26APR19-5250-P
