date_utc,amount,direction,indexPrice,instrument,iv,price,quantity,tickDirection,timeStamp,tradeId,tradeSeq
2019-06-17 07:22:53.677,5.0,buy,9166.58,BTC-26JUL19-13000-C,86.37,0.018000000000000002,5.0,1,1560756173677,24470629,1
2019-06-17 08:37:10.071,1.0,sell,9208.39,BTC-26JUL19-13000-C,86.2,0.0185,1.0,0,1560760630071,24473530,2
2019-06-17 08:41:32.272,1.0,buy,9198.87,BTC-26JUL19-13000-C,87.16,0.019,1.0,0,1560760892272,24473856,3
2019-06-17 10:50:59.387,5.0,buy,9277.83,BTC-26JUL19-13000-C,86.28,0.0195,5.0,0,1560768659387,24481438,4
2019-06-17 12:35:09.218,5.0,buy,9267.95,BTC-26JUL19-13000-C,88.35,0.021,5.0,0,1560774909218,24497506,5
2019-06-17 12:36:31.441,5.0,buy,9260.27,BTC-26JUL19-13000-C,88.54,0.021,5.0,1,1560774991441,24497668,6
2019-06-17 13:00:16.932,2.0,buy,9299.08,BTC-26JUL19-13000-C,88.49,0.0215,2.0,0,1560776416932,24499867,7
2019-06-17 19:05:25.225,2.0,buy,9305.47,BTC-26JUL19-13000-C,90.29,0.023,2.0,0,1560798325225,24544614,8
2019-06-17 19:11:20.999,3.0,buy,9325.34,BTC-26JUL19-13000-C,89.96,0.023,3.0,1,1560798680999,24545028,9
2019-06-19 22:50:42.290,0.5,buy,9284.68,BTC-26JUL19-13000-C,91.04,0.0215,0.5,2,1560984642290,24770741,10
2019-06-19 22:57:44.480,1.0,sell,9263.13,BTC-26JUL19-13000-C,91.45,0.0215,1.0,3,1560985064480,24771721,11
2019-06-19 23:03:13.213,8.5,sell,9261.21,BTC-26JUL19-13000-C,91.51,0.0215,8.5,3,1560985393213,24771952,12
