date_utc,amount,direction,indexPrice,instrument,iv,price,quantity,tickDirection,timeStamp,tradeId,tradeSeq
2019-06-12 01:55:24.321,0.1,sell,7867.01,BTC-26JUL19-6000-P,74.06,0.0175,0.1,1,1560304524321,23969761,1
2019-06-12 01:59:04.349,0.1,sell,7857.79,BTC-26JUL19-6000-P,73.82,0.0175,0.1,1,1560304744349,23969826,2
2019-06-12 08:45:45.306,3.5,sell,7978.57,BTC-26JUL19-6000-P,72.98,0.0145,3.5,2,1560329145306,23989190,3
2019-06-12 16:55:59.183,2.0,buy,8182.35,BTC-26JUL19-6000-P,75.72,0.013000000000000001,2.0,2,1560358559183,24031498,4
2019-06-13 02:48:23.113,0.2,sell,8121.68,BTC-26JUL19-6000-P,78.08,0.015,0.2,0,1560394103113,24049646,5
2019-06-13 22:30:04.847,7.0,buy,8298.99,BTC-26JUL19-6000-P,77.79,0.012,7.0,2,1560465004847,24101092,6
2019-06-13 22:30:04.847,1.3,buy,8298.99,BTC-26JUL19-6000-P,77.79,0.012,1.3,3,1560465004847,24101093,7
2019-06-14 11:32:52.954,1.0,buy,8294.28,BTC-26JUL19-6000-P,74.32,0.01,1.0,2,1560511972954,24127978,8
2019-06-14 11:32:53.133,1.0,buy,8294.28,BTC-26JUL19-6000-P,74.32,0.01,1.0,3,1560511973133,24127979,9
2019-06-14 11:32:55.059,1.0,sell,8294.29,BTC-26JUL19-6000-P,74.33,0.01,1.0,3,1560511975059,24127982,10
2019-06-14 21:32:50.735,4.0,sell,8603.27,BTC-26JUL19-6000-P,71.61,0.006,4.0,2,1560547970735,24173256,11
2019-06-15 01:02:58.678,0.1,buy,8640.19,BTC-26JUL19-6000-P,77.64,0.008,0.1,0,1560560578678,24189892,12
2019-06-15 16:19:51.910,6.0,buy,8812.71,BTC-26JUL19-6000-P,79.45,0.006999999999999999,6.0,2,1560615591910,24226169,13
2019-06-15 21:42:08.230,3.5,buy,8798.84,BTC-26JUL19-6000-P,79.75,0.006999999999999999,3.5,3,1560634928230,24249947,14
2019-06-16 04:08:28.488,6.0,sell,9017.4,BTC-26JUL19-6000-P,70.72,0.003,6.0,2,1560658108488,24276785,15
2019-06-16 10:44:23.886,2.0,sell,9094.89,BTC-26JUL19-6000-P,82.42,0.0055,2.0,0,1560681863886,24350806,16
2019-06-16 13:41:21.004,7.5,sell,9170.03,BTC-26JUL19-6000-P,84.19,0.0055,7.5,1,1560692481004,24365542,17
2019-06-16 20:13:22.234,1.0,buy,8824.16,BTC-26JUL19-6000-P,79.78,0.006,1.0,0,1560716002234,24420528,18
2019-06-18 00:29:38.853,10.0,sell,9313.09,BTC-26JUL19-6000-P,85.87,0.005,10.0,2,1560817778853,24602759,19
2019-06-18 21:34:10.101,2.0,sell,9100.8,BTC-26JUL19-6000-P,86.18,0.006,2.0,0,1560893650101,24692446,20
