date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-06-11,BTC,26JUL19,7500,P,0.071,69.62,2,7927.87,BTC-26JUL19-7500-P
2019-06-12,BTC,26JUL19,7500,P,0.06,70.75,7,8135.14,BTC-26JUL19-7500-P
2019-06-13,BTC,26JUL19,7500,P,0.053,73.34,2,8324.38,BTC-26JUL19-7500-P
2019-06-14,BTC,26JUL19,7500,P,0.044000000000000004,73.44,5,8545.55,BTC-26JUL19-7500-P
2019-06-15,BTC,26JUL19,7500,P,0.032,71.33,1,8798.89,BTC-26JUL19-7500-P
2019-06-16,BTC,26JUL19,7500,P,0.0275,75.57,7,9027.72,BTC-26JUL19-7500-P
2019-06-17,BTC,26JUL19,7500,P,0.027000000000000003,79.3,2,9215.5,BTC-26JUL19-7500-P
2019-06-18,BTC,26JUL19,7500,P,0.0315,80.38,4,8991.58,BTC-26JUL19-7500-P
2019-06-19,BTC,26JUL19,7500,P,0.0275,80.7,1,9148.6,BTC-26JUL19-7500-P
2019-06-20,BTC,26JUL19,7500,P,0.021,78.68,2,9336.36,BTC-26JUL19-7500-P
