date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-04-02,BTC,27DEC19,5000,P,0.21600000000000005,55.1,7,4773.69,BTC-27DEC19-5000-P
2019-04-03,BTC,27DEC19,5000,P,0.1995,59.6,4,5011.09,BTC-27DEC19-5000-P
2019-04-04,BTC,27DEC19,5000,P,0.2195,65.0,2,4996.01,BTC-27DEC19-5000-P
2019-04-10,BTC,27DEC19,5000,P,0.1675,59.89,2,5266.27,BTC-27DEC19-5000-P
2019-04-11,BTC,27DEC19,5000,P,0.1995,61.82,7,5073.04,BTC-27DEC19-5000-P
2019-04-12,BTC,27DEC19,5000,P,0.1965,60.27,1,5031.34,BTC-27DEC19-5000-P
2019-04-16,BTC,27DEC19,5000,P,0.193,61.52,3,5084.12,BTC-27DEC19-5000-P
2019-04-17,BTC,27DEC19,5000,P,0.177,61.97,3,5228.19,BTC-27DEC19-5000-P
2019-04-18,BTC,27DEC19,5000,P,0.1665,59.81,2,5269.63,BTC-27DEC19-5000-P
2019-04-19,BTC,27DEC19,5000,P,0.1665,60.87,4,5303.48,BTC-27DEC19-5000-P
2019-04-20,BTC,27DEC19,5000,P,0.168,62.04,1,5324.83,BTC-27DEC19-5000-P
2019-04-22,BTC,27DEC19,5000,P,0.1555,60.36,3,5382.5,BTC-27DEC19-5000-P
2019-04-23,BTC,27DEC19,5000,P,0.1415,61.33,1,5574.19,BTC-27DEC19-5000-P
2019-04-24,BTC,27DEC19,5000,P,0.159,63.51,2,5471.15,BTC-27DEC19-5000-P
2019-04-26,BTC,27DEC19,5000,P,0.184,61.15,1,5165.02,BTC-27DEC19-5000-P
2019-04-27,BTC,27DEC19,5000,P,0.187,61.93,1,5160.64,BTC-27DEC19-5000-P
2019-04-28,BTC,27DEC19,5000,P,0.1825,60.76,4,5172.3,BTC-27DEC19-5000-P
2019-04-29,BTC,27DEC19,5000,P,0.1865,60.68,3,5137.03,BTC-27DEC19-5000-P
2019-04-30,BTC,27DEC19,5000,P,0.188,62.91,2,5185.1,BTC-27DEC19-5000-P
2019-05-01,BTC,27DEC19,5000,P,0.1715,60.77,1,5296.3,BTC-27DEC19-5000-P
2019-05-02,BTC,27DEC19,5000,P,0.1625,60.21,6,5367.07,BTC-27DEC19-5000-P
2019-05-03,BTC,27DEC19,5000,P,0.135,61.98,4,5684.14,BTC-27DEC19-5000-P
2019-05-04,BTC,27DEC19,5000,P,0.1475,63.85,2,5579.31,BTC-27DEC19-5000-P
2019-05-06,BTC,27DEC19,5000,P,0.13699999999999998,62.61,2,5646.66,BTC-27DEC19-5000-P
2019-05-09,BTC,27DEC19,5000,P,0.1125,65.46,7,6155.8,BTC-27DEC19-5000-P
2019-05-10,BTC,27DEC19,5000,P,0.1035,64.96,1,6297.94,BTC-27DEC19-5000-P
2019-05-11,BTC,27DEC19,5000,P,0.078,69.32,5,6960.7,BTC-27DEC19-5000-P
