date_utc,amount,direction,indexPrice,instrument,iv,price,quantity,tickDirection,timeStamp,tradeId,tradeSeq
2019-04-02 07:21:35.020,0.5,sell,4692.56,BTC-27DEC19-5000-P,52.75,0.218,0.5,1,1554189695020,17091497,1
2019-04-02 07:22:26.500,0.5,sell,4695.58,BTC-27DEC19-5000-P,52.89,0.218,0.5,1,1554189746500,17091571,2
2019-04-02 07:25:12.710,1.0,sell,4692.32,BTC-27DEC19-5000-P,52.75,0.218,1.0,1,1554189912710,17091735,3
2019-04-02 07:36:34.504,5.0,buy,4684.43,BTC-27DEC19-5000-P,54.27,0.225,5.0,0,1554190594504,17092356,4
2019-04-02 09:32:38.267,4.0,buy,4783.95,BTC-27DEC19-5000-P,55.13,0.215,4.0,2,1554197558267,17098557,5
2019-04-02 10:13:37.415,0.1,buy,4786.33,BTC-27DEC19-5000-P,53.52,0.209,0.1,2,1554200017415,17103562,6
2019-04-02 10:32:44.174,0.1,buy,4773.69,BTC-27DEC19-5000-P,55.1,0.21600000000000005,0.1,0,1554201164174,17104945,7
2019-04-03 00:07:09.255,0.1,buy,4924.36,BTC-27DEC19-5000-P,56.83,0.204,0.1,2,1554250029255,17154456,8
2019-04-03 00:34:11.977,0.1,buy,4970.29,BTC-27DEC19-5000-P,56.34,0.197,0.1,2,1554251651977,17158436,9
2019-04-03 18:03:19.352,0.1,sell,5126.72,BTC-27DEC19-5000-P,56.19,0.177,0.1,2,1554314599352,17221578,10
2019-04-03 23:04:37.295,10.0,buy,5011.09,BTC-27DEC19-5000-P,59.6,0.1995,10.0,0,1554332677295,17260033,11
2019-04-04 05:33:39.305,10.0,buy,5018.65,BTC-27DEC19-5000-P,62.7,0.21,10.0,0,1554356019305,17292902,12
2019-04-04 12:06:19.141,2.0,sell,4996.01,BTC-27DEC19-5000-P,65.0,0.2195,2.0,0,1554379579141,17305310,13
2019-04-10 14:08:55.939,1.0,sell,5265.7,BTC-27DEC19-5000-P,63.87,0.18,1.0,2,1554905335939,17601793,14
2019-04-10 14:17:08.852,1.0,sell,5266.27,BTC-27DEC19-5000-P,59.89,0.1675,1.0,2,1554905828852,17601900,15
2019-04-11 12:08:58.454,4.6000000000000005,buy,5044.43,BTC-27DEC19-5000-P,66.01,0.214,4.6000000000000005,0,1554984538454,17697611,16
2019-04-11 14:25:15.699,5.0,buy,5043.25,BTC-27DEC19-5000-P,61.72,0.2,5.0,2,1554992715699,17702861,17
2019-04-11 14:33:29.608,5.0,buy,5048.71,BTC-27DEC19-5000-P,61.91,0.2,5.0,3,1554993209608,17703059,18
2019-04-11 19:51:51.846,5.0,buy,5072.86,BTC-27DEC19-5000-P,61.3,0.198,5.0,2,1555012311846,17713953,19
2019-04-11 19:51:52.534,5.0,buy,5072.86,BTC-27DEC19-5000-P,61.3,0.198,5.0,3,1555012312534,17713954,20
2019-04-11 19:54:54.822,5.0,buy,5073.24,BTC-27DEC19-5000-P,61.5,0.1985,5.0,0,1555012494822,17714040,21
2019-04-11 19:55:38.214,5.0,buy,5073.04,BTC-27DEC19-5000-P,61.82,0.1995,5.0,0,1555012538214,17714055,22
2019-04-12 10:09:57.726,5.0,buy,5031.34,BTC-27DEC19-5000-P,60.27,0.1965,5.0,2,1555063797726,17743713,23
2019-04-16 00:34:26.587,1.0,sell,5041.81,BTC-27DEC19-5000-P,59.87,0.1925,1.0,2,1555374866587,17849545,24
2019-04-16 09:10:24.797,1.0,sell,5072.98,BTC-27DEC19-5000-P,61.02,0.1935,1.0,0,1555405824797,17854931,25
2019-04-16 09:51:15.382,1.0,sell,5084.12,BTC-27DEC19-5000-P,61.52,0.193,1.0,2,1555408275382,17855260,26
2019-04-17 06:28:05.298,1.0,sell,5224.72,BTC-27DEC19-5000-P,59.86,0.171,1.0,2,1555482485298,17892820,27
2019-04-17 07:23:30.292,2.0,sell,5212.72,BTC-27DEC19-5000-P,59.68,0.1715,2.0,0,1555485810292,17893307,28
2019-04-17 20:15:58.239,0.1,buy,5228.19,BTC-27DEC19-5000-P,61.97,0.177,0.1,0,1555532158239,17907707,29
2019-04-18 06:55:39.220,0.1,sell,5269.41,BTC-27DEC19-5000-P,61.09,0.1705,0.1,2,1555570539220,17918816,30
2019-04-18 06:59:28.617,1.9,sell,5269.63,BTC-27DEC19-5000-P,59.81,0.1665,1.9,2,1555570768617,17918825,31
2019-04-19 07:35:39.082,0.3,sell,5239.03,BTC-27DEC19-5000-P,61.06,0.173,0.3,0,1555659339082,17947351,32
2019-04-19 10:35:38.882,1.0,sell,5247.76,BTC-27DEC19-5000-P,60.04,0.1695,1.0,2,1555670138882,17949423,33
2019-04-19 16:21:13.483,0.2,sell,5303.48,BTC-27DEC19-5000-P,61.68,0.16899999999999998,0.2,2,1555690873483,17955431,34
2019-04-19 16:21:13.483,4.4,sell,5303.48,BTC-27DEC19-5000-P,60.87,0.1665,4.4,2,1555690873483,17955432,35
2019-04-20 04:58:14.713,0.3,sell,5324.83,BTC-27DEC19-5000-P,62.04,0.168,0.3,0,1555736294713,17975951,36
2019-04-22 16:00:15.810,0.5,sell,5310.6,BTC-27DEC19-5000-P,59.96,0.1615,0.5,2,1555948815810,18049221,37
2019-04-22 19:07:43.273,2.0,buy,5410.12,BTC-27DEC19-5000-P,62.46,0.16,2.0,2,1555960063273,18063272,38
2019-04-22 20:41:11.155,2.0,sell,5382.5,BTC-27DEC19-5000-P,60.36,0.1555,2.0,2,1555965671155,18067377,39
2019-04-23 12:47:05.919,4.0,sell,5574.19,BTC-27DEC19-5000-P,61.33,0.1415,4.0,2,1556023625919,18109148,40
2019-04-24 15:14:34.700,5.0,buy,5471.15,BTC-27DEC19-5000-P,63.51,0.159,5.0,0,1556118874700,18180060,41
2019-04-24 15:14:34.700,1.2,buy,5471.15,BTC-27DEC19-5000-P,63.51,0.159,1.2,1,1556118874700,18180061,42
2019-04-26 13:58:46.249,1.0,sell,5165.02,BTC-27DEC19-5000-P,61.15,0.184,1.0,0,1556287126249,18330308,43
