date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-05-12,BTC,27SEP19,15000,C,0.051,98.72,1,7490.44,BTC-27SEP19-15000-C
2019-05-14,BTC,27SEP19,15000,C,0.07,99.76,1,8220.01,BTC-27SEP19-15000-C
2019-05-16,BTC,27SEP19,15000,C,0.0565,96.4,3,7955.41,BTC-27SEP19-15000-C
2019-05-17,BTC,27SEP19,15000,C,0.05,101.89,3,7139.44,BTC-27SEP19-15000-C
2019-05-18,BTC,27SEP19,15000,C,0.05,101.98,1,7309.46,BTC-27SEP19-15000-C
2019-05-19,BTC,27SEP19,15000,C,0.0605,96.6,2,8209.64,BTC-27SEP19-15000-C
2019-05-20,BTC,27SEP19,15000,C,0.0605,99.72,3,7939.67,BTC-27SEP19-15000-C
2019-05-21,BTC,27SEP19,15000,C,0.057,97.84,3,8000.41,BTC-27SEP19-15000-C
2019-05-22,BTC,27SEP19,15000,C,0.043,95.11,4,7520.45,BTC-27SEP19-15000-C
2019-05-23,BTC,27SEP19,15000,C,0.044,94.0,1,7757.28,BTC-27SEP19-15000-C
2019-05-26,BTC,27SEP19,15000,C,0.0555,88.67,3,8673.66,BTC-27SEP19-15000-C
2019-05-27,BTC,27SEP19,15000,C,0.075,98.63,5,8730.26,BTC-27SEP19-15000-C
2019-05-28,BTC,27SEP19,15000,C,0.062,92.74,3,8651.2,BTC-27SEP19-15000-C
2019-05-29,BTC,27SEP19,15000,C,0.051,88.53,1,8705.29,BTC-27SEP19-15000-C
2019-05-30,BTC,27SEP19,15000,C,0.05,90.89,5,8493.61,BTC-27SEP19-15000-C
2019-05-31,BTC,27SEP19,15000,C,0.045,89.1,2,8421.71,BTC-27SEP19-15000-C
2019-06-01,BTC,27SEP19,15000,C,0.0435,86.5,2,8529.64,BTC-27SEP19-15000-C
2019-06-02,BTC,27SEP19,15000,C,0.0465,87.79,5,8644.21,BTC-27SEP19-15000-C
2019-06-04,BTC,27SEP19,15000,C,0.027000000000000003,87.75,5,7634.77,BTC-27SEP19-15000-C
2019-06-05,BTC,27SEP19,15000,C,0.025,85.27,1,7733.27,BTC-27SEP19-15000-C
2019-06-06,BTC,27SEP19,15000,C,0.021,82.79,5,7705.56,BTC-27SEP19-15000-C
2019-06-07,BTC,27SEP19,15000,C,0.0195,77.12,5,8103.9,BTC-27SEP19-15000-C
2019-06-08,BTC,27SEP19,15000,C,0.0185,77.84,1,7989.49,BTC-27SEP19-15000-C
2019-06-09,BTC,27SEP19,15000,C,0.015,78.35,1,7688.36,BTC-27SEP19-15000-C
2019-06-10,BTC,27SEP19,15000,C,0.019,79.64,2,7953.14,BTC-27SEP19-15000-C
2019-06-11,BTC,27SEP19,15000,C,0.016,79.25,3,7795.67,BTC-27SEP19-15000-C
2019-06-12,BTC,27SEP19,15000,C,0.02,79.06,2,8172.68,BTC-27SEP19-15000-C
2019-06-13,BTC,27SEP19,15000,C,0.02,80.22,2,8084.95,BTC-27SEP19-15000-C
2019-06-14,BTC,27SEP19,15000,C,0.024,78.77,4,8586.35,BTC-27SEP19-15000-C
2019-06-15,BTC,27SEP19,15000,C,0.026000000000000002,79.45,1,8665.45,BTC-27SEP19-15000-C
2019-06-16,BTC,27SEP19,15000,C,0.04,82.91,18,9143.21,BTC-27SEP19-15000-C
2019-06-17,BTC,27SEP19,15000,C,0.045,85.06,10,9339.38,BTC-27SEP19-15000-C
2019-06-18,BTC,27SEP19,15000,C,0.0465,87.98,2,9189.66,BTC-27SEP19-15000-C
2019-06-19,BTC,27SEP19,15000,C,0.0435,86.87,3,9135.02,BTC-27SEP19-15000-C
2019-06-20,BTC,27SEP19,15000,C,0.045,85.11,12,9349.83,BTC-27SEP19-15000-C
