date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-02-16,BTC,27SEP19,3000,P,0.11,61.64,1,3573.01,BTC-27SEP19-3000-P
2019-02-17,BTC,27SEP19,3000,P,0.1075,61.4,4,3572.06,BTC-27SEP19-3000-P
2019-02-18,BTC,27SEP19,3000,P,0.08800000000000001,61.34,3,3773.67,BTC-27SEP19-3000-P
2019-02-19,BTC,27SEP19,3000,P,0.0775,62.35,6,3889.05,BTC-27SEP19-3000-P
2019-02-20,BTC,27SEP19,3000,P,0.0645,57.51,2,3924.0,BTC-27SEP19-3000-P
2019-02-21,BTC,27SEP19,3000,P,0.076,61.84,7,3884.48,BTC-27SEP19-3000-P
2019-02-22,BTC,27SEP19,3000,P,0.0735,62.52,7,3940.59,BTC-27SEP19-3000-P
2019-02-23,BTC,27SEP19,3000,P,0.07400000000000001,62.57,4,3938.01,BTC-27SEP19-3000-P
2019-02-24,BTC,27SEP19,3000,P,0.093,63.35,11,3763.45,BTC-27SEP19-3000-P
2019-02-25,BTC,27SEP19,3000,P,0.0845,61.09,3,3780.02,BTC-27SEP19-3000-P
2019-02-26,BTC,27SEP19,3000,P,0.08,60.42,2,3815.38,BTC-27SEP19-3000-P
2019-02-27,BTC,27SEP19,3000,P,0.09,62.34,1,3740.12,BTC-27SEP19-3000-P
