date_utc,amount,direction,indexPrice,instrument,iv,price,quantity,tickDirection,timeStamp,tradeId,tradeSeq
2019-02-15 15:10:46.699,1.0,buy,3561.14,BTC-27SEP19-7000-P,57.75,1.005,1.0,1,1550243446699,15397894,1
2019-03-17 08:40:35.838,2.0,buy,3953.89,BTC-27SEP19-7000-P,57.76,0.8,2.0,2,1552812035838,16659624,2
2019-03-21 14:49:42.260,2.0,buy,3970.51,BTC-27SEP19-7000-P,59.72,0.8,2.0,3,1553179782260,16760609,3
2019-03-24 20:25:19.555,0.1,buy,3949.65,BTC-27SEP19-7000-P,56.09,0.8,0.1,3,1553459119555,16803819,4
2019-03-25 12:18:47.050,1.9,buy,3957.27,BTC-27SEP19-7000-P,58.53,0.8,1.9,3,1553516327050,16810853,5
2019-03-25 15:59:58.301,3.2,buy,3949.13,BTC-27SEP19-7000-P,54.24,0.8,3.2,3,1553529598301,16813796,6
2019-05-06 09:11:34.713,0.1,buy,5609.66,BTC-27SEP19-7000-P,61.18,0.3275,0.1,2,1557133894713,18944532,7
2019-05-07 23:52:03.205,0.1,buy,5767.08,BTC-27SEP19-7000-P,63.44,0.305,0.1,2,1557273123205,19094881,8
2019-05-11 07:30:43.762,3.0,sell,6870.18,BTC-27SEP19-7000-P,63.36,0.1765,3.0,2,1557559843762,19525294,9
2019-05-11 07:30:46.620,2.0,buy,6866.73,BTC-27SEP19-7000-P,63.22,0.1765,2.0,3,1557559846620,19525343,10
2019-05-11 08:24:18.494,0.1,sell,6792.23,BTC-27SEP19-7000-P,63.78,0.183,0.1,0,1557563058494,19533237,11
2019-05-11 08:25:05.753,2.9,sell,6784.47,BTC-27SEP19-7000-P,63.38,0.183,2.9,1,1557563105753,19533303,12
2019-05-11 08:25:16.284,2.1,buy,6783.8,BTC-27SEP19-7000-P,63.33,0.183,2.1,1,1557563116284,19533329,13
2019-05-11 13:49:18.712,10.0,buy,6816.86,BTC-27SEP19-7000-P,69.15,0.19,10.0,0,1557582558712,19569008,14
2019-05-11 14:49:59.116,1.0,sell,6795.63,BTC-27SEP19-7000-P,69.93,0.19399999999999998,1.0,0,1557586199116,19575364,15
2019-05-11 14:50:11.474,1.0,sell,6795.47,BTC-27SEP19-7000-P,69.73,0.1935,1.0,2,1557586211474,19575377,16
2019-05-11 14:50:25.780,8.0,buy,6795.16,BTC-27SEP19-7000-P,69.52,0.193,8.0,2,1557586225780,19575389,17
2019-05-11 14:52:32.878,5.0,sell,6787.93,BTC-27SEP19-7000-P,69.43,0.19399999999999998,5.0,0,1557586352878,19575532,18
2019-05-12 10:58:48.276,0.2,buy,7207.36,BTC-27SEP19-7000-P,75.11,0.171,0.2,2,1557658728276,19917365,19
2019-05-12 14:58:53.291,1.0,buy,6924.94,BTC-27SEP19-7000-P,74.03,0.1885,1.0,0,1557673133291,19997232,20
2019-05-12 15:50:01.546,0.2,buy,6782.19,BTC-27SEP19-7000-P,84.93,0.2265,0.2,0,1557676201546,20016493,21
2019-05-13 12:27:46.983,1.0,sell,7327.66,BTC-27SEP19-7000-P,76.82,0.162,1.0,2,1557750466983,20173744,22
2019-05-13 14:44:50.304,1.0,sell,7538.51,BTC-27SEP19-7000-P,76.12,0.146,1.0,2,1557758690304,20198743,23
2019-05-13 18:55:46.425,4.0,sell,7859.54,BTC-27SEP19-7000-P,83.74,0.141,4.0,2,1557773746425,20294743,24
2019-05-13 22:09:04.242,0.1,buy,8095.48,BTC-27SEP19-7000-P,88.57,0.13699999999999998,0.1,2,1557785344242,20333434,25
2019-05-13 23:03:42.528,0.1,buy,7861.31,BTC-27SEP19-7000-P,95.48,0.1645,0.1,0,1557788622528,20348330,26
2019-05-14 09:57:34.894,0.1,sell,8083.0,BTC-27SEP19-7000-P,89.74,0.13699999999999998,0.1,2,1557827854894,20493080,27
2019-05-14 14:42:46.757,0.5,sell,8042.32,BTC-27SEP19-7000-P,90.99,0.1435,0.5,0,1557844966757,20532434,28
2019-05-14 14:45:45.000,0.5,buy,7957.45,BTC-27SEP19-7000-P,90.0,0.146,0.5,0,1557845145000,20533513,29
2019-05-14 15:21:20.684,0.1,buy,8084.31,BTC-27SEP19-7000-P,95.39,0.151,0.1,0,1557847280684,20539432,30
2019-05-15 13:01:06.963,0.2,buy,8026.36,BTC-27SEP19-7000-P,95.49,0.1525,0.2,0,1557925266963,20711669,31
2019-05-17 16:08:50.800,1.0,buy,6987.12,BTC-27SEP19-7000-P,91.38,0.2075,1.0,0,1558109330800,21193230,32
2019-05-17 16:27:26.239,1.0,buy,7142.69,BTC-27SEP19-7000-P,91.33,0.195,1.0,2,1558110446239,21196833,33
2019-05-17 20:34:55.238,1.0,buy,7080.08,BTC-27SEP19-7000-P,90.32,0.2,1.0,0,1558125295238,21229704,34
2019-05-17 21:31:39.803,0.2,sell,7200.48,BTC-27SEP19-7000-P,90.97,0.192,0.2,2,1558128699803,21235695,35
2019-05-17 21:48:25.476,5.0,buy,7235.5,BTC-27SEP19-7000-P,94.24,0.1965,5.0,0,1558129705476,21236785,36
2019-05-18 01:05:45.284,0.1,sell,7319.71,BTC-27SEP19-7000-P,89.04,0.1815,0.1,2,1558141545284,21256477,37
2019-05-18 01:30:45.282,0.1,sell,7289.15,BTC-27SEP19-7000-P,88.78,0.1835,0.1,0,1558143045282,21257891,38
2019-05-19 02:47:15.708,0.2,buy,7774.35,BTC-27SEP19-7000-P,94.57,0.1655,0.2,2,1558234035708,21354315,39
2019-05-19 13:36:13.846,1.0,sell,7964.71,BTC-27SEP19-7000-P,88.65,0.1365,1.0,2,1558272973846,21423884,40
2019-05-19 16:16:16.347,0.1,buy,7938.14,BTC-27SEP19-7000-P,96.52,0.1535,0.1,0,1558282576347,21434474,41
2019-05-19 18:06:07.466,2.0,sell,7980.31,BTC-27SEP19-7000-P,85.75,0.129,2.0,2,1558289167466,21442745,42
2019-05-19 21:30:58.343,1.0,buy,8055.84,BTC-27SEP19-7000-P,88.31,0.13,1.0,0,1558301458343,21457874,43
2019-05-20 05:12:17.349,0.1,buy,8010.2,BTC-27SEP19-7000-P,90.08,0.134,0.1,0,1558329137349,21529793,44
2019-05-21 18:56:25.962,3.0,buy,8047.47,BTC-27SEP19-7000-P,85.32,0.123,3.0,2,1558464985962,21717993,45
2019-05-22 04:02:19.805,0.1,buy,7927.9,BTC-27SEP19-7000-P,86.26,0.131,0.1,0,1558497739805,21744204,46
2019-05-22 10:51:14.597,1.0,buy,7878.48,BTC-27SEP19-7000-P,89.65,0.14,1.0,0,1558522274597,21758814,47
2019-05-23 15:29:01.059,2.0,sell,7800.55,BTC-27SEP19-7000-P,85.73,0.139,2.0,2,1558625341059,21912153,48
2019-05-24 05:47:21.199,0.1,sell,7832.79,BTC-27SEP19-7000-P,84.77,0.1315,0.1,2,1558676841199,21964215,49
2019-05-24 08:03:34.165,0.1,sell,7902.35,BTC-27SEP19-7000-P,85.8,0.1295,0.1,2,1558685014165,21969254,50
2019-05-24 08:14:42.194,4.9,sell,7933.43,BTC-27SEP19-7000-P,86.43,0.1295,4.9,3,1558685682194,21970224,51
2019-05-24 16:15:30.640,0.1,sell,8163.28,BTC-27SEP19-7000-P,88.52,0.12,0.1,2,1558714530640,22002430,52
2019-05-25 12:16:42.655,0.1,sell,8060.49,BTC-27SEP19-7000-P,85.74,0.119,0.1,2,1558786602655,22054119,53
