date_utc,amount,direction,indexPrice,instrument,iv,price,quantity,tickDirection,timeStamp,tradeId,tradeSeq
2019-02-14 04:33:17.920,10.0,sell,3580.8,BTC-27SEP19-8000-C,58.77,0.0105,10.0,2,1550118797920,15354123,77
2019-02-14 10:42:39.176,1.0,buy,3565.1,BTC-27SEP19-8000-C,60.07,0.0115,1.0,0,1550140959176,15361876,78
2019-02-14 15:50:44.153,2.0,buy,3566.92,BTC-27SEP19-8000-C,60.01,0.0115,2.0,1,1550159444153,15370043,79
2019-02-14 17:34:14.554,0.1,buy,3572.7,BTC-27SEP19-8000-C,59.97,0.0115,0.1,1,1550165654554,15371727,80
2019-02-15 19:29:44.195,10.0,buy,3568.05,BTC-27SEP19-8000-C,59.61,0.011000000000000001,10.0,2,1550258984195,15401410,81
2019-02-15 19:29:44.195,5.0,buy,3568.05,BTC-27SEP19-8000-C,59.61,0.011000000000000001,5.0,3,1550258984195,15401411,82
2019-02-15 19:29:47.110,6.1000000000000005,buy,3568.05,BTC-27SEP19-8000-C,59.61,0.011000000000000001,6.1000000000000005,3,1550258987110,15401412,83
2019-02-15 19:29:51.068,11.0,sell,3568.43,BTC-27SEP19-8000-C,59.6,0.011000000000000001,11.0,3,1550258991068,15401421,84
2019-02-16 02:51:39.987,10.0,buy,3581.02,BTC-27SEP19-8000-C,59.89,0.0115,10.0,0,1550285499987,15405242,85
2019-02-16 03:08:00.282,0.1,buy,3583.12,BTC-27SEP19-8000-C,60.37,0.012,0.1,0,1550286480282,15405628,86
2019-02-16 03:59:13.067,0.1,buy,3584.61,BTC-27SEP19-8000-C,60.27,0.012,0.1,1,1550289553067,15406688,87
2019-02-16 12:16:16.998,6.0,buy,3592.43,BTC-27SEP19-8000-C,60.09,0.012,6.0,1,1550319376998,15412601,88
2019-02-16 14:19:47.021,1.1,buy,3599.52,BTC-27SEP19-8000-C,60.02,0.012,1.1,1,1550326787021,15417603,89
2019-02-16 14:20:16.004,0.5,buy,3598.73,BTC-27SEP19-8000-C,60.02,0.012,0.5,1,1550326816004,15417607,90
2019-02-17 10:31:44.801,4.0,buy,3641.77,BTC-27SEP19-8000-C,59.08,0.0115,4.0,2,1550399504801,15436213,91
2019-02-17 21:10:49.191,3.0,buy,3578.6,BTC-27SEP19-8000-C,59.49,0.011000000000000001,3.0,2,1550437849191,15452768,92
2019-02-17 23:02:40.137,3.0,buy,3603.27,BTC-27SEP19-8000-C,58.71,0.0105,3.0,2,1550444560137,15456217,93
2019-02-18 14:25:24.107,0.1,buy,3820.9,BTC-27SEP19-8000-C,59.15,0.0145,0.1,0,1550499924107,15540694,94
2019-02-18 16:59:23.653,17.0,buy,3861.24,BTC-27SEP19-8000-C,57.81,0.013999999999999999,17.0,2,1550509163653,15565139,95
2019-02-18 17:05:02.421,0.1,buy,3845.32,BTC-27SEP19-8000-C,58.07,0.013999999999999999,0.1,3,1550509502421,15566777,96
2019-02-18 18:29:46.028,0.1,buy,3892.27,BTC-27SEP19-8000-C,59.13,0.016,0.1,0,1550514586028,15573343,97
2019-02-18 19:52:34.480,2.0,sell,3874.42,BTC-27SEP19-8000-C,59.24,0.016,2.0,1,1550519554480,15577045,98
2019-02-18 22:49:32.670,0.1,buy,3855.35,BTC-27SEP19-8000-C,60.68,0.0175,0.1,0,1550530172670,15584834,99
2019-02-18 23:28:33.101,0.6,buy,3861.79,BTC-27SEP19-8000-C,60.26,0.017,0.6,2,1550532513101,15586240,100
2019-02-19 03:05:15.913,10.0,buy,3862.52,BTC-27SEP19-8000-C,60.92,0.018000000000000002,10.0,0,1550545515913,15606586,101
2019-02-19 08:48:54.477,3.0,sell,3886.9,BTC-27SEP19-8000-C,60.96,0.0185,3.0,0,1550566134477,15615332,102
2019-02-19 09:44:05.939,10.0,buy,3872.45,BTC-27SEP19-8000-C,60.74,0.018000000000000002,10.0,2,1550569445939,15616833,103
2019-02-19 13:11:26.273,10.0,sell,3889.49,BTC-27SEP19-8000-C,60.89,0.0185,10.0,0,1550581886273,15624062,104
2019-02-19 13:11:31.313,10.0,sell,3889.82,BTC-27SEP19-8000-C,60.89,0.0185,10.0,1,1550581891313,15624063,105
2019-02-19 13:11:38.525,5.0,sell,3890.15,BTC-27SEP19-8000-C,60.88,0.0185,5.0,1,1550581898525,15624064,106
2019-02-19 15:38:37.530,0.1,buy,3937.8,BTC-27SEP19-8000-C,61.15,0.0195,0.1,0,1550590717530,15649690,107
2019-02-19 22:28:45.633,5.0,sell,3907.84,BTC-27SEP19-8000-C,58.99,0.016,5.0,2,1550615325633,15666845,108
2019-02-21 12:06:17.937,15.0,sell,3899.01,BTC-27SEP19-8000-C,58.66,0.0155,15.0,2,1550750777937,15742038,109
