date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-02-15,BTC,28JUN19,12000,C,0.0005,71.4,2,3558.24,BTC-28JUN19-12000-C
2019-02-16,BTC,28JUN19,12000,C,0.0005,71.01,2,3588.43,BTC-28JUN19-12000-C
2019-02-17,BTC,28JUN19,12000,C,0.0015,79.94,3,3578.68,BTC-28JUN19-12000-C
2019-02-19,BTC,28JUN19,12000,C,0.001,71.59,6,3942.15,BTC-28JUN19-12000-C
2019-02-20,BTC,28JUN19,12000,C,0.0015,75.88,1,3880.19,BTC-28JUN19-12000-C
2019-02-21,BTC,28JUN19,12000,C,0.002,78.53,2,3893.27,BTC-28JUN19-12000-C
2019-02-22,BTC,28JUN19,12000,C,0.001,72.43,2,3940.59,BTC-28JUN19-12000-C
2019-02-23,BTC,28JUN19,12000,C,0.001,72.87,1,3928.66,BTC-28JUN19-12000-C
2019-03-05,BTC,28JUN19,12000,C,0.001,79.34,2,3710.03,BTC-28JUN19-12000-C
2019-03-08,BTC,28JUN19,12000,C,0.0015,82.67,2,3812.17,BTC-28JUN19-12000-C
2019-03-09,BTC,28JUN19,12000,C,0.001,77.95,4,3897.21,BTC-28JUN19-12000-C
2019-03-20,BTC,28JUN19,12000,C,0.001,80.52,1,4006.42,BTC-28JUN19-12000-C
2019-03-22,BTC,28JUN19,12000,C,0.001,82.12,1,3981.65,BTC-28JUN19-12000-C
2019-03-27,BTC,28JUN19,12000,C,0.0005,77.88,2,4016.01,BTC-28JUN19-12000-C
2019-03-29,BTC,28JUN19,12000,C,0.001,83.38,4,4075.83,BTC-28JUN19-12000-C
2019-04-02,BTC,28JUN19,12000,C,0.002,81.63,2,4724.18,BTC-28JUN19-12000-C
2019-04-03,BTC,28JUN19,12000,C,0.0025,78.21,7,5141.5,BTC-28JUN19-12000-C
2019-04-05,BTC,28JUN19,12000,C,0.0065,93.35,3,5022.59,BTC-28JUN19-12000-C
2019-04-09,BTC,28JUN19,12000,C,0.0045,87.08,2,5211.99,BTC-28JUN19-12000-C
2019-04-11,BTC,28JUN19,12000,C,0.004,89.29,1,5069.03,BTC-28JUN19-12000-C
2019-04-12,BTC,28JUN19,12000,C,0.003,86.63,1,5008.28,BTC-28JUN19-12000-C
2019-04-14,BTC,28JUN19,12000,C,0.0035,89.32,1,5070.85,BTC-28JUN19-12000-C
2019-04-15,BTC,28JUN19,12000,C,0.0025,84.03,1,5169.31,BTC-28JUN19-12000-C
2019-04-18,BTC,28JUN19,12000,C,0.0015,78.53,6,5282.97,BTC-28JUN19-12000-C
2019-04-19,BTC,28JUN19,12000,C,0.003,86.82,1,5274.75,BTC-28JUN19-12000-C
2019-04-24,BTC,28JUN19,12000,C,0.0015,80.15,8,5436.98,BTC-28JUN19-12000-C
2019-04-29,BTC,28JUN19,12000,C,0.001,84.13,6,5170.12,BTC-28JUN19-12000-C
2019-04-30,BTC,28JUN19,12000,C,0.0015,87.82,1,5249.3,BTC-28JUN19-12000-C
2019-05-03,BTC,28JUN19,12000,C,0.0015,82.01,2,5696.57,BTC-28JUN19-12000-C
2019-05-04,BTC,28JUN19,12000,C,0.001,77.95,2,5760.22,BTC-28JUN19-12000-C
2019-05-05,BTC,28JUN19,12000,C,0.0015,83.19,3,5729.81,BTC-28JUN19-12000-C
2019-05-06,BTC,28JUN19,12000,C,0.002,87.82,2,5682.55,BTC-28JUN19-12000-C
2019-05-08,BTC,28JUN19,12000,C,0.002,86.87,1,5833.23,BTC-28JUN19-12000-C
2019-05-09,BTC,28JUN19,12000,C,0.002,83.66,8,6150.85,BTC-28JUN19-12000-C
2019-05-10,BTC,28JUN19,12000,C,0.0035,87.52,12,6387.89,BTC-28JUN19-12000-C
2019-05-11,BTC,28JUN19,12000,C,0.0125,91.09,24,7389.64,BTC-28JUN19-12000-C
2019-05-12,BTC,28JUN19,12000,C,0.0105,93.26,12,7122.21,BTC-28JUN19-12000-C
2019-05-13,BTC,28JUN19,12000,C,0.03,102.57,14,8042.45,BTC-28JUN19-12000-C
2019-05-14,BTC,28JUN19,12000,C,0.025,103.61,13,7749.7,BTC-28JUN19-12000-C
2019-05-15,BTC,28JUN19,12000,C,0.024,96.83,5,8077.87,BTC-28JUN19-12000-C
2019-05-16,BTC,28JUN19,12000,C,0.0265,103.1,2,7931.5,BTC-28JUN19-12000-C
2019-05-17,BTC,28JUN19,12000,C,0.0165,108.89,3,7052.8,BTC-28JUN19-12000-C
2019-05-18,BTC,28JUN19,12000,C,0.0215,112.45,1,7356.56,BTC-28JUN19-12000-C
2019-05-19,BTC,28JUN19,12000,C,0.034,108.63,9,8225.22,BTC-28JUN19-12000-C
2019-05-20,BTC,28JUN19,12000,C,0.027000000000000003,110.47,3,7845.57,BTC-28JUN19-12000-C
2019-05-21,BTC,28JUN19,12000,C,0.024,107.38,3,7867.55,BTC-28JUN19-12000-C
2019-05-22,BTC,28JUN19,12000,C,0.0185,106.16,5,7662.83,BTC-28JUN19-12000-C
2019-05-23,BTC,28JUN19,12000,C,0.0165,100.83,2,7849.59,BTC-28JUN19-12000-C
2019-05-24,BTC,28JUN19,12000,C,0.017,95.71,7,8136.9,BTC-28JUN19-12000-C
2019-05-25,BTC,28JUN19,12000,C,0.013,92.31,9,8064.22,BTC-28JUN19-12000-C
2019-05-26,BTC,28JUN19,12000,C,0.021,88.46,23,8732.59,BTC-28JUN19-12000-C
2019-05-27,BTC,28JUN19,12000,C,0.029,97.98,10,8811.52,BTC-28JUN19-12000-C
2019-05-28,BTC,28JUN19,12000,C,0.0255,98.17,3,8745.93,BTC-28JUN19-12000-C
2019-05-29,BTC,28JUN19,12000,C,0.021,95.76,7,8650.06,BTC-28JUN19-12000-C
2019-05-30,BTC,28JUN19,12000,C,0.016,92.66,3,8624.07,BTC-28JUN19-12000-C
2019-05-31,BTC,28JUN19,12000,C,0.0165,97.27,5,8534.47,BTC-28JUN19-12000-C
2019-06-01,BTC,28JUN19,12000,C,0.0125,90.71,1,8522.56,BTC-28JUN19-12000-C
2019-06-02,BTC,28JUN19,12000,C,0.01,85.16,5,8694.21,BTC-28JUN19-12000-C
2019-06-03,BTC,28JUN19,12000,C,0.0085,88.17,3,8510.05,BTC-28JUN19-12000-C
2019-06-04,BTC,28JUN19,12000,C,0.0035,94.84,9,7621.63,BTC-28JUN19-12000-C
2019-06-05,BTC,28JUN19,12000,C,0.002,85.61,5,7763.59,BTC-28JUN19-12000-C
2019-06-06,BTC,28JUN19,12000,C,0.001,80.99,2,7683.69,BTC-28JUN19-12000-C
2019-06-07,BTC,28JUN19,12000,C,0.002,83.08,4,8060.76,BTC-28JUN19-12000-C
2019-06-08,BTC,28JUN19,12000,C,0.001,77.87,1,7977.62,BTC-28JUN19-12000-C
2019-06-09,BTC,28JUN19,12000,C,0.001,90.69,4,7581.71,BTC-28JUN19-12000-C
2019-06-10,BTC,28JUN19,12000,C,0.001,84.1,2,7947.92,BTC-28JUN19-12000-C
2019-06-11,BTC,28JUN19,12000,C,0.0005,81.24,8,7880.17,BTC-28JUN19-12000-C
2019-06-12,BTC,28JUN19,12000,C,0.0015,90.0,4,8161.77,BTC-28JUN19-12000-C
2019-06-13,BTC,28JUN19,12000,C,0.0015,89.12,3,8317.42,BTC-28JUN19-12000-C
2019-06-14,BTC,28JUN19,12000,C,0.0015,85.01,14,8625.68,BTC-28JUN19-12000-C
2019-06-15,BTC,28JUN19,12000,C,0.002,88.18,1,8670.01,BTC-28JUN19-12000-C
2019-06-16,BTC,28JUN19,12000,C,0.0025,86.01,18,9023.35,BTC-28JUN19-12000-C
2019-06-17,BTC,28JUN19,12000,C,0.0085,106.13,7,9359.25,BTC-28JUN19-12000-C
2019-06-18,BTC,28JUN19,12000,C,0.0025,94.65,13,9065.56,BTC-28JUN19-12000-C
2019-06-19,BTC,28JUN19,12000,C,0.004,101.37,4,9289.74,BTC-28JUN19-12000-C
2019-06-20,BTC,28JUN19,12000,C,0.0035,103.12,2,9253.84,BTC-28JUN19-12000-C
