date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-02-14,BTC,28JUN19,3500,P,0.1335,56.65,20,3561.23,BTC-28JUN19-3500-P
2019-02-15,BTC,28JUN19,3500,P,0.13,56.51,3,3574.69,BTC-28JUN19-3500-P
2019-02-16,BTC,28JUN19,3500,P,0.128,58.03,9,3591.27,BTC-28JUN19-3500-P
2019-02-17,BTC,28JUN19,3500,P,0.128,56.74,2,3573.27,BTC-28JUN19-3500-P
2019-02-18,BTC,28JUN19,3500,P,0.0915,59.29,9,3866.25,BTC-28JUN19-3500-P
2019-02-19,BTC,28JUN19,3500,P,0.084,59.37,2,3937.86,BTC-28JUN19-3500-P
2019-02-20,BTC,28JUN19,3500,P,0.075,54.7,8,3924.21,BTC-28JUN19-3500-P
2019-02-22,BTC,28JUN19,3500,P,0.08199999999999999,59.11,6,3922.11,BTC-28JUN19-3500-P
2019-02-24,BTC,28JUN19,3500,P,0.1055,59.25,9,3762.87,BTC-28JUN19-3500-P
2019-02-25,BTC,28JUN19,3500,P,0.1015,59.77,6,3787.54,BTC-28JUN19-3500-P
2019-02-27,BTC,28JUN19,3500,P,0.099,60.1,1,3806.91,BTC-28JUN19-3500-P
2019-02-28,BTC,28JUN19,3500,P,0.0965,58.67,4,3790.82,BTC-28JUN19-3500-P
2019-03-04,BTC,28JUN19,3500,P,0.1025,57.5,5,3702.51,BTC-28JUN19-3500-P
2019-03-05,BTC,28JUN19,3500,P,0.086,58.51,3,3838.68,BTC-28JUN19-3500-P
2019-03-06,BTC,28JUN19,3500,P,0.087,57.94,4,3818.49,BTC-28JUN19-3500-P
2019-03-08,BTC,28JUN19,3500,P,0.0885,57.96,5,3793.02,BTC-28JUN19-3500-P
2019-03-09,BTC,28JUN19,3500,P,0.073,56.03,2,3908.01,BTC-28JUN19-3500-P
2019-03-10,BTC,28JUN19,3500,P,0.0765,57.43,1,3897.61,BTC-28JUN19-3500-P
2019-03-11,BTC,28JUN19,3500,P,0.0775,56.29,1,3861.41,BTC-28JUN19-3500-P
2019-03-13,BTC,28JUN19,3500,P,0.0795,56.53,1,3841.86,BTC-28JUN19-3500-P
2019-03-14,BTC,28JUN19,3500,P,0.07400000000000001,54.83,3,3853.35,BTC-28JUN19-3500-P
2019-03-15,BTC,28JUN19,3500,P,0.0685,54.58,7,3897.93,BTC-28JUN19-3500-P
2019-03-16,BTC,28JUN19,3500,P,0.0655,58.16,2,4005.34,BTC-28JUN19-3500-P
2019-03-20,BTC,28JUN19,3500,P,0.0545,52.66,2,3984.69,BTC-28JUN19-3500-P
2019-03-23,BTC,28JUN19,3500,P,0.054000000000000006,52.79,1,3992.58,BTC-28JUN19-3500-P
2019-03-25,BTC,28JUN19,3500,P,0.0635,53.78,5,3881.74,BTC-28JUN19-3500-P
2019-03-26,BTC,28JUN19,3500,P,0.0585,52.79,9,3920.07,BTC-28JUN19-3500-P
2019-03-27,BTC,28JUN19,3500,P,0.052000000000000005,53.96,12,4010.71,BTC-28JUN19-3500-P
2019-03-28,BTC,28JUN19,3500,P,0.05,52.94,12,4011.96,BTC-28JUN19-3500-P
2019-03-29,BTC,28JUN19,3500,P,0.043,53.14,12,4087.49,BTC-28JUN19-3500-P
2019-03-30,BTC,28JUN19,3500,P,0.04,51.16,9,4082.56,BTC-28JUN19-3500-P
2019-03-31,BTC,28JUN19,3500,P,0.0405,51.92,8,4093.02,BTC-28JUN19-3500-P
2019-04-01,BTC,28JUN19,3500,P,0.039,52.77,8,4139.32,BTC-28JUN19-3500-P
2019-04-02,BTC,28JUN19,3500,P,0.0135,58.36,16,4921.64,BTC-28JUN19-3500-P
2019-04-03,BTC,28JUN19,3500,P,0.013999999999999999,65.24,3,5133.99,BTC-28JUN19-3500-P
2019-04-04,BTC,28JUN19,3500,P,0.026000000000000002,71.93,7,4866.35,BTC-28JUN19-3500-P
2019-04-05,BTC,28JUN19,3500,P,0.02,70.56,3,5042.19,BTC-28JUN19-3500-P
2019-04-07,BTC,28JUN19,3500,P,0.017,71.53,4,5156.6,BTC-28JUN19-3500-P
2019-04-08,BTC,28JUN19,3500,P,0.015,71.5,3,5230.03,BTC-28JUN19-3500-P
2019-04-09,BTC,28JUN19,3500,P,0.013999999999999999,69.32,5,5186.14,BTC-28JUN19-3500-P
2019-04-10,BTC,28JUN19,3500,P,0.013,70.24,1,5272.31,BTC-28JUN19-3500-P
