date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-02-14,BTC,29MAR19,4000,C,0.032,55.0,13,3574.29,BTC-29MAR19-4000-C
2019-02-15,BTC,29MAR19,4000,C,0.03,54.03,46,3568.21,BTC-29MAR19-4000-C
2019-02-16,BTC,29MAR19,4000,C,0.032,54.47,6,3592.0,BTC-29MAR19-4000-C
2019-02-17,BTC,29MAR19,4000,C,0.03,53.12,35,3602.04,BTC-29MAR19-4000-C
2019-02-18,BTC,29MAR19,4000,C,0.0595,57.26,91,3869.65,BTC-29MAR19-4000-C
2019-02-19,BTC,29MAR19,4000,C,0.061,57.73,131,3878.56,BTC-29MAR19-4000-C
2019-02-20,BTC,29MAR19,4000,C,0.0625,55.33,35,3932.97,BTC-29MAR19-4000-C
2019-02-21,BTC,29MAR19,4000,C,0.059,55.64,28,3893.4,BTC-29MAR19-4000-C
2019-02-22,BTC,29MAR19,4000,C,0.0665,58.95,64,3938.07,BTC-29MAR19-4000-C
2019-02-23,BTC,29MAR19,4000,C,0.0875,60.88,53,4110.43,BTC-29MAR19-4000-C
2019-02-24,BTC,29MAR19,4000,C,0.045,62.91,40,3730.74,BTC-29MAR19-4000-C
2019-02-25,BTC,29MAR19,4000,C,0.0495,60.68,55,3817.19,BTC-29MAR19-4000-C
2019-02-26,BTC,29MAR19,4000,C,0.0415,56.6,51,3795.73,BTC-29MAR19-4000-C
2019-02-27,BTC,29MAR19,4000,C,0.040999999999999995,56.38,119,3798.54,BTC-29MAR19-4000-C
2019-02-28,BTC,29MAR19,4000,C,0.0425,58.2,26,3799.85,BTC-29MAR19-4000-C
