date_utc,amount,direction,indexPrice,instrument,iv,price,quantity,tickDirection,timeStamp,tradeId,tradeSeq
2019-02-14 00:08:12.000,3.0,buy,3575.97,BTC-29MAR19-4000-C,55.92,0.034,3.0,0,1550102892000,15349852,531
2019-02-14 01:06:22.493,10.0,sell,3580.52,BTC-29MAR19-4000-C,54.92,0.0335,10.0,2,1550106382493,15351507,532
2019-02-14 07:23:29.384,0.8,sell,3565.75,BTC-29MAR19-4000-C,55.81,0.033,0.8,2,1550129009384,15357942,533
2019-02-14 10:27:25.718,6.4,sell,3561.27,BTC-29MAR19-4000-C,56.02,0.0325,6.4,2,1550140045718,15361519,534
2019-02-14 11:57:16.923,4.0,sell,3553.8,BTC-29MAR19-4000-C,55.97,0.032,4.0,2,1550145436923,15366331,535
2019-02-14 12:17:28.543,4.0,sell,3555.84,BTC-29MAR19-4000-C,56.21,0.0325,4.0,0,1550146648543,15367297,536
2019-02-14 12:37:23.346,10.0,buy,3560.45,BTC-29MAR19-4000-C,56.58,0.033,10.0,0,1550147843346,15367555,537
2019-02-14 12:42:01.895,5.0,sell,3560.95,BTC-29MAR19-4000-C,55.12,0.0315,5.0,2,1550148121895,15367646,538
2019-02-14 12:43:20.882,5.0,sell,3560.62,BTC-29MAR19-4000-C,55.14,0.0315,5.0,3,1550148200882,15367713,539
2019-02-14 12:50:37.751,7.0,sell,3559.56,BTC-29MAR19-4000-C,54.88,0.031,7.0,2,1550148637751,15367775,540
2019-02-14 12:51:44.183,0.5,sell,3559.46,BTC-29MAR19-4000-C,54.91,0.031,0.5,3,1550148704183,15367796,541
2019-02-14 13:01:47.870,10.0,buy,3558.59,BTC-29MAR19-4000-C,56.22,0.0325,10.0,0,1550149307870,15367916,542
2019-02-14 18:02:46.343,3.1,buy,3574.29,BTC-29MAR19-4000-C,55.0,0.032,3.1,2,1550167366343,15372486,543
2019-02-15 00:34:42.554,0.4,sell,3567.45,BTC-29MAR19-4000-C,54.15,0.0305,0.4,2,1550190882554,15376687,544
2019-02-15 01:19:15.568,0.1,sell,3565.2,BTC-29MAR19-4000-C,54.34,0.0305,0.1,3,1550193555568,15376873,545
2019-02-15 01:19:55.585,0.3,buy,3565.39,BTC-29MAR19-4000-C,54.75,0.031,0.3,0,1550193595585,15376877,546
2019-02-15 03:25:41.096,0.1,sell,3574.71,BTC-29MAR19-4000-C,54.18,0.031,0.1,1,1550201141096,15377839,547
2019-02-15 03:27:13.689,0.1,sell,3574.78,BTC-29MAR19-4000-C,54.2,0.031,0.1,1,1550201233689,15377846,548
2019-02-15 03:33:27.711,0.1,sell,3574.82,BTC-29MAR19-4000-C,54.2,0.031,0.1,1,1550201607711,15377868,549
2019-02-15 03:35:58.605,0.1,sell,3574.36,BTC-29MAR19-4000-C,54.27,0.031,0.1,1,1550201758605,15377876,550
2019-02-15 03:39:48.355,0.1,sell,3573.94,BTC-29MAR19-4000-C,54.25,0.031,0.1,1,1550201988355,15377907,551
2019-02-15 03:41:29.399,0.1,sell,3573.4,BTC-29MAR19-4000-C,54.34,0.031,0.1,1,1550202089399,15377915,552
2019-02-15 03:45:06.847,0.1,sell,3573.14,BTC-29MAR19-4000-C,54.36,0.031,0.1,1,1550202306847,15377921,553
2019-02-15 03:45:21.940,0.1,sell,3573.46,BTC-29MAR19-4000-C,54.35,0.031,0.1,1,1550202321940,15377922,554
2019-02-15 03:46:24.248,0.1,sell,3573.77,BTC-29MAR19-4000-C,54.35,0.031,0.1,1,1550202384248,15377944,555
2019-02-15 03:46:28.503,0.1,sell,3573.84,BTC-29MAR19-4000-C,54.35,0.031,0.1,1,1550202388503,15377945,556
2019-02-15 03:59:19.813,0.1,sell,3576.64,BTC-29MAR19-4000-C,53.91,0.031,0.1,1,1550203159813,15378406,557
2019-02-15 04:02:54.317,0.1,sell,3575.9,BTC-29MAR19-4000-C,54.08,0.031,0.1,1,1550203374317,15378513,558
2019-02-15 04:59:04.603,0.3,buy,3580.54,BTC-29MAR19-4000-C,54.29,0.0315,0.3,0,1550206744603,15380057,559
2019-02-15 05:05:08.621,0.2,buy,3579.96,BTC-29MAR19-4000-C,54.2,0.0315,0.2,1,1550207108621,15380190,560
2019-02-15 05:07:06.683,0.2,buy,3578.88,BTC-29MAR19-4000-C,54.27,0.0315,0.2,1,1550207226683,15380207,561
2019-02-15 05:09:32.005,0.2,buy,3578.24,BTC-29MAR19-4000-C,54.28,0.0315,0.2,1,1550207372005,15380258,562
2019-02-15 05:31:38.864,0.1,sell,3577.7,BTC-29MAR19-4000-C,54.09,0.031,0.1,2,1550208698864,15380448,563
2019-02-15 05:31:42.645,0.1,sell,3577.38,BTC-29MAR19-4000-C,54.11,0.031,0.1,3,1550208702645,15380452,564
2019-02-15 05:32:20.887,0.2,buy,3577.43,BTC-29MAR19-4000-C,54.52,0.0315,0.2,0,1550208740887,15380457,565
2019-02-15 05:33:06.758,9.8,buy,3576.98,BTC-29MAR19-4000-C,54.52,0.0315,9.8,1,1550208786758,15380460,566
2019-02-15 05:33:06.829,2.2,sell,3576.98,BTC-29MAR19-4000-C,54.52,0.0315,2.2,1,1550208786829,15380461,567
2019-02-15 06:26:21.983,0.1,sell,3578.91,BTC-29MAR19-4000-C,53.5,0.0305,0.1,2,1550211981983,15380911,568
2019-02-15 08:02:45.942,0.1,sell,3576.87,BTC-29MAR19-4000-C,53.39,0.0305,0.1,3,1550217765942,15382418,569
2019-02-15 08:02:45.942,0.9,sell,3576.87,BTC-29MAR19-4000-C,53.39,0.0305,0.9,3,1550217765942,15382419,570
2019-02-15 11:02:53.767,0.1,buy,3583.78,BTC-29MAR19-4000-C,55.02,0.0325,0.1,0,1550228573767,15384555,571
2019-02-15 11:02:53.767,10.0,buy,3583.78,BTC-29MAR19-4000-C,55.02,0.0325,10.0,1,1550228573767,15384556,572
2019-02-15 11:03:00.844,1.0,sell,3583.78,BTC-29MAR19-4000-C,55.0,0.0325,1.0,1,1550228580844,15384558,573
2019-02-15 11:09:29.175,0.1,buy,3585.64,BTC-29MAR19-4000-C,55.27,0.033,0.1,0,1550228969175,15385714,574
2019-02-15 11:09:29.175,12.8,buy,3585.64,BTC-29MAR19-4000-C,55.69,0.0335,12.8,0,1550228969175,15385715,575
