date_utc,amount,direction,indexPrice,instrument,iv,price,quantity,tickDirection,timeStamp,tradeId,tradeSeq
2019-05-07 02:20:04.190,0.1,buy,5780.1,BTC-31MAY19-7500-C,71.63,0.0075,0.1,1,1557195604190,18996155,1
2019-05-07 16:55:41.552,1.0,buy,5888.37,BTC-31MAY19-7500-C,73.07,0.0095,1.0,0,1557248141552,19067496,2
2019-05-08 18:48:07.790,10.0,buy,5879.45,BTC-31MAY19-7500-C,71.86,0.008,10.0,2,1557341287790,19164686,3
2019-05-08 18:48:07.790,0.1,buy,5879.45,BTC-31MAY19-7500-C,71.86,0.008,0.1,3,1557341287790,19164687,4
2019-05-08 18:48:07.790,1.9,buy,5879.45,BTC-31MAY19-7500-C,71.86,0.008,1.9,3,1557341287790,19164688,5
2019-05-09 00:58:24.795,0.1,buy,6044.22,BTC-31MAY19-7500-C,67.38,0.0085,0.1,0,1557363504795,19200378,6
2019-05-09 04:33:08.132,0.1,sell,6042.92,BTC-31MAY19-7500-C,67.66,0.0085,0.1,1,1557376388132,19220012,7
2019-05-09 05:00:51.420,0.1,buy,6066.8,BTC-31MAY19-7500-C,67.86,0.009000000000000001,0.1,0,1557378051420,19220550,8
2019-05-09 14:20:21.651,0.6,buy,6012.58,BTC-31MAY19-7500-C,68.31,0.008,0.6,2,1557411621651,19249378,9
2019-05-09 23:55:40.181,0.1,buy,6150.85,BTC-31MAY19-7500-C,66.95,0.0095,0.1,0,1557446140181,19281058,10
2019-05-10 00:02:53.604,0.1,buy,6159.74,BTC-31MAY19-7500-C,67.6,0.01,0.1,0,1557446573604,19281457,11
2019-05-10 00:25:55.101,0.1,buy,6156.08,BTC-31MAY19-7500-C,68.74,0.0105,0.1,0,1557447955101,19282144,12
2019-05-10 01:05:37.881,0.4,sell,6128.45,BTC-31MAY19-7500-C,66.86,0.009000000000000001,0.4,2,1557450337881,19285005,13
2019-05-10 01:05:38.000,1.6,buy,6128.45,BTC-31MAY19-7500-C,66.86,0.009000000000000001,1.6,3,1557450338000,19285007,14
2019-05-10 03:11:53.602,0.1,buy,6280.82,BTC-31MAY19-7500-C,65.92,0.0115,0.1,0,1557457913602,19302259,15
2019-05-10 04:58:48.363,0.2,buy,6295.67,BTC-31MAY19-7500-C,66.33,0.012,0.2,0,1557464328363,19321033,16
2019-05-10 07:27:53.707,0.1,buy,6296.37,BTC-31MAY19-7500-C,67.33,0.0125,0.1,0,1557473273707,19331729,17
2019-05-10 12:07:40.655,0.1,sell,6252.12,BTC-31MAY19-7500-C,68.54,0.012,0.1,2,1557490060655,19353341,18
2019-05-10 16:28:28.117,0.1,buy,6346.84,BTC-31MAY19-7500-C,65.91,0.0125,0.1,0,1557505708117,19372803,19
2019-05-10 17:51:53.848,0.4,sell,6403.68,BTC-31MAY19-7500-C,62.85,0.012,0.4,2,1557510713848,19386597,20
2019-05-10 20:43:07.270,0.4,sell,6293.15,BTC-31MAY19-7500-C,66.59,0.0115,0.4,2,1557520987270,19400774,21
2019-05-10 20:43:07.654,0.4,sell,6292.87,BTC-31MAY19-7500-C,66.6,0.0115,0.4,3,1557520987654,19400777,22
2019-05-10 22:48:51.212,3.0,sell,6372.31,BTC-31MAY19-7500-C,63.56,0.0115,3.0,3,1557528531212,19413255,23
2019-05-10 22:52:59.463,3.0,sell,6384.95,BTC-31MAY19-7500-C,63.93,0.012,3.0,0,1557528779463,19413548,24
2019-05-11 01:41:50.908,2.0,buy,6423.89,BTC-31MAY19-7500-C,64.23,0.013000000000000001,2.0,1,1557538910908,19421382,26
2019-05-11 01:41:50.908,0.6,buy,6423.89,BTC-31MAY19-7500-C,64.23,0.013000000000000001,0.6,0,1557538910908,19421381,25
2019-05-11 02:56:11.245,2.0,buy,6499.89,BTC-31MAY19-7500-C,64.35,0.015,2.0,0,1557543371245,19431705,27
2019-05-11 02:58:29.321,0.2,sell,6510.23,BTC-31MAY19-7500-C,62.34,0.014,0.2,2,1557543509321,19433353,28
2019-05-11 04:27:10.614,5.0,buy,6537.2,BTC-31MAY19-7500-C,67.35,0.018000000000000002,5.0,0,1557548830614,19444070,29
2019-05-11 04:46:05.516,0.3,buy,6656.87,BTC-31MAY19-7500-C,63.48,0.019,0.3,0,1557549965516,19449671,30
2019-05-11 04:46:05.516,0.2,buy,6656.87,BTC-31MAY19-7500-C,64.86,0.02,0.2,0,1557549965516,19449672,31
2019-05-11 04:47:53.454,0.5,buy,6689.26,BTC-31MAY19-7500-C,66.08,0.022000000000000002,0.5,0,1557550073454,19451350,32
2019-05-11 04:49:59.093,0.4,buy,6763.51,BTC-31MAY19-7500-C,62.64,0.022000000000000002,0.4,1,1557550199093,19454573,33
2019-05-11 04:49:59.171,0.4,buy,6763.51,BTC-31MAY19-7500-C,62.64,0.022,0.4,1,1557550199171,19454577,34
2019-05-11 04:58:47.314,2.7,buy,6716.14,BTC-31MAY19-7500-C,64.85,0.022000000000000002,2.7,1,1557550727314,19460001,35
2019-05-11 05:15:25.441,0.1,buy,6685.97,BTC-31MAY19-7500-C,68.24,0.0235,0.1,0,1557551725441,19465117,36
2019-05-11 06:08:10.252,4.0,buy,6788.34,BTC-31MAY19-7500-C,63.48,0.0235,4.0,1,1557554890252,19478369,37
2019-05-11 06:28:14.633,13.0,buy,6948.93,BTC-31MAY19-7500-C,63.55,0.03,13.0,0,1557556094633,19496991,38
2019-05-11 10:59:30.978,0.3,buy,6839.96,BTC-31MAY19-7500-C,72.37,0.0325,0.3,0,1557572370978,19554098,39
2019-05-11 13:05:04.767,0.4,sell,6779.15,BTC-31MAY19-7500-C,72.55,0.03,0.4,2,1557579904767,19566472,40
2019-05-11 14:28:56.418,1.3,sell,6772.7,BTC-31MAY19-7500-C,75.43,0.032,1.3,0,1557584936418,19572986,41
2019-05-11 14:47:14.354,1.0,sell,6793.15,BTC-31MAY19-7500-C,72.6,0.0305,1.0,2,1557586034354,19575154,42
2019-05-11 15:54:47.637,0.4,sell,6920.82,BTC-31MAY19-7500-C,79.06,0.0415,0.4,0,1557590087637,19587070,43
2019-05-11 16:13:40.217,2.7,buy,6974.6,BTC-31MAY19-7500-C,76.76,0.042,2.7,0,1557591220217,19595347,44
2019-05-11 16:15:32.852,0.4,buy,6992.14,BTC-31MAY19-7500-C,82.01,0.0475,0.4,0,1557591332852,19596473,45
2019-05-11 16:15:32.852,24.0,buy,6992.14,BTC-31MAY19-7500-C,82.01,0.0475,24.0,1,1557591332852,19596474,46
2019-05-11 16:15:32.852,5.0,buy,6992.14,BTC-31MAY19-7500-C,82.01,0.0475,5.0,1,1557591332852,19596475,47
