date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-03-22,BTC,5APR19,3875,C,0.0465,42.25,3,3987.21,BTC-5APR19-3875-C
2019-03-23,BTC,5APR19,3875,C,0.0435,41.89,1,3966.83,BTC-5APR19-3875-C
2019-03-24,BTC,5APR19,3875,C,0.04,41.63,1,3956.9,BTC-5APR19-3875-C
2019-03-25,BTC,5APR19,3875,C,0.03,42.98,8,3887.07,BTC-5APR19-3875-C
2019-03-26,BTC,5APR19,3875,C,0.0315,43.26,7,3911.08,BTC-5APR19-3875-C
2019-03-27,BTC,5APR19,3875,C,0.047,45.53,8,4011.19,BTC-5APR19-3875-C
2019-03-29,BTC,5APR19,3875,C,0.0455,38.45,3,4030.43,BTC-5APR19-3875-C
2019-03-30,BTC,5APR19,3875,C,0.0575,44.65,63,4088.53,BTC-5APR19-3875-C
2019-03-31,BTC,5APR19,3875,C,0.057,48.07,2,4086.21,BTC-5APR19-3875-C
2019-04-01,BTC,5APR19,3875,C,0.0615,36.21,2,4126.07,BTC-5APR19-3875-C
2019-04-02,BTC,5APR19,3875,C,0.1895,137.78,13,4773.18,BTC-5APR19-3875-C
2019-04-03,BTC,5APR19,3875,C,0.27,293.57,3,5284.81,BTC-5APR19-3875-C
2019-04-04,BTC,5APR19,3875,C,0.2165,450.66,25,4926.65,BTC-5APR19-3875-C
