date_utc,amount,direction,indexPrice,instrument,iv,price,quantity,tickDirection,timeStamp,tradeId,tradeSeq
2019-05-24 08:52:59.842,2.0,sell,7964.93,BTC-7JUN19-7000-C,92.03,0.1445,2.0,1,1558687979842,21975661,1
2019-05-24 10:26:59.823,5.0,sell,8008.12,BTC-7JUN19-7000-C,90.4,0.147,5.0,0,1558693619823,21979443,2
2019-05-24 13:39:00.516,5.0,sell,8000.64,BTC-7JUN19-7000-C,89.19,0.1455,5.0,2,1558705140516,21989597,3
2019-05-24 15:45:32.305,5.0,sell,8114.94,BTC-7JUN19-7000-C,92.58,0.1565,5.0,0,1558712732305,21999509,4
2019-05-24 18:02:49.398,5.0,sell,8077.71,BTC-7JUN19-7000-C,94.9,0.1545,5.0,2,1558720969398,22010045,5
2019-05-24 18:52:25.396,0.5,buy,8079.21,BTC-7JUN19-7000-C,101.35,0.158,0.5,0,1558723945396,22011764,6
2019-05-24 18:52:25.396,4.1,buy,8079.21,BTC-7JUN19-7000-C,101.35,0.158,4.1,1,1558723945396,22011765,7
2019-05-24 18:52:54.421,0.4,sell,8076.35,BTC-7JUN19-7000-C,101.76,0.158,0.4,1,1558723974421,22011779,8
2019-05-24 18:55:09.188,5.0,sell,8082.18,BTC-7JUN19-7000-C,94.33,0.1545,5.0,2,1558724109188,22011848,9
2019-05-24 19:00:21.951,2.5,sell,8073.49,BTC-7JUN19-7000-C,102.19,0.158,2.5,0,1558724421951,22011938,10
2019-05-24 19:00:25.512,1.9,sell,8072.71,BTC-7JUN19-7000-C,102.31,0.158,1.9,1,1558724425512,22011945,11
2019-05-24 19:00:34.526,0.6,sell,8072.64,BTC-7JUN19-7000-C,102.32,0.158,0.6,1,1558724434526,22011964,12
2019-05-25 00:14:55.951,5.0,buy,8014.59,BTC-7JUN19-7000-C,104.17,0.154,5.0,2,1558743295951,22030832,13
2019-05-25 02:05:50.560,1.0,buy,8049.3,BTC-7JUN19-7000-C,104.98,0.157,1.0,0,1558749950560,22034163,14
2019-05-25 02:35:31.615,1.0,buy,8027.82,BTC-7JUN19-7000-C,103.59,0.1545,1.0,2,1558751731615,22034583,15
2019-05-25 04:42:57.453,5.0,sell,8019.15,BTC-7JUN19-7000-C,94.12,0.1485,5.0,2,1558759377453,22036832,16
2019-05-25 05:44:46.266,5.0,sell,7993.2,BTC-7JUN19-7000-C,92.61,0.1455,5.0,2,1558763086266,22038059,17
2019-05-25 06:08:55.375,5.0,sell,7968.2,BTC-7JUN19-7000-C,92.76,0.1435,5.0,2,1558764535375,22038944,18
2019-05-26 11:26:56.597,1.0,sell,7946.12,BTC-7JUN19-7000-C,89.12,0.1375,1.0,2,1558870016597,22097473,19
2019-05-26 19:48:02.340,5.0,sell,8419.05,BTC-7JUN19-7000-C,107.64,0.184,5.0,0,1558900082340,22152798,20
2019-05-26 19:51:20.997,5.0,sell,8452.88,BTC-7JUN19-7000-C,104.57,0.1855,5.0,0,1558900280997,22154968,21
2019-05-26 19:52:29.049,5.0,sell,8474.16,BTC-7JUN19-7000-C,99.92,0.1855,5.0,1,1558900349049,22155333,22
2019-05-26 20:02:52.066,2.0,buy,8639.95,BTC-7JUN19-7000-C,103.08,0.2,2.0,0,1558900972066,22166606,23
2019-05-27 07:14:43.342,4.0,buy,8791.93,BTC-7JUN19-7000-C,130.6,0.2205,4.0,0,1558941283342,22279029,24
2019-05-28 13:38:55.325,8.0,sell,8645.62,BTC-7JUN19-7000-C,116.86,0.202,8.0,2,1559050735325,22415492,25
2019-06-02 07:35:52.119,0.1,buy,8641.96,BTC-7JUN19-7000-C,114.44,0.193,0.1,2,1559460952119,22916831,26
2019-06-04 17:40:26.435,6.0,buy,7697.19,BTC-7JUN19-7000-C,126.59,0.101,6.0,2,1559670026435,23244111,27
2019-06-04 17:48:12.130,6.0,buy,7646.25,BTC-7JUN19-7000-C,116.72,0.094,6.0,2,1559670492130,23255813,28
