date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-04-26,ETH,10MAY19,170,P,0.129,69.64,3,152.88,ETH-10MAY19-170-P
2019-04-27,ETH,10MAY19,170,P,0.122,55.69,1,152.75,ETH-10MAY19-170-P
2019-04-28,ETH,10MAY19,170,P,0.105,62.95,1,156.01,ETH-10MAY19-170-P
2019-05-03,ETH,10MAY19,170,P,0.048,67.79,5,166.6,ETH-10MAY19-170-P
2019-05-04,ETH,10MAY19,170,P,0.062,62.87,2,161.96,ETH-10MAY19-170-P
2019-05-05,ETH,10MAY19,170,P,0.068,76.48,2,161.34,ETH-10MAY19-170-P
2019-05-06,ETH,10MAY19,170,P,0.022,78.43,5,173.45,ETH-10MAY19-170-P
2019-05-07,ETH,10MAY19,170,P,0.043,99.33,16,166.67,ETH-10MAY19-170-P
2019-05-08,ETH,10MAY19,170,P,0.024,77.67,2,168.52,ETH-10MAY19-170-P
2019-05-09,ETH,10MAY19,170,P,0.012,66.59,6,168.96,ETH-10MAY19-170-P
2019-05-10,ETH,10MAY19,170,P,0.014,105.05,1,169.45,ETH-10MAY19-170-P
