date_utc,amount,direction,indexPrice,instrument,iv,price,quantity,tickDirection,timeStamp,tradeId,tradeSeq
2019-05-03 13:24:30.346,50.0,sell,166.98,ETH-17MAY19-170-P,64.55,0.06,50.0,1,1556889870346,1441264,1
2019-05-03 13:27:20.529,1.0,buy,167.13,ETH-17MAY19-170-P,67.82,0.062,1.0,0,1556890040529,1441334,2
2019-05-03 17:31:30.164,1.0,buy,165.08,ETH-17MAY19-170-P,63.61,0.066,1.0,0,1556904690164,1446126,3
2019-05-04 04:08:14.047,1.0,buy,162.21,ETH-17MAY19-170-P,59.42,0.07400000000000001,1.0,0,1556942894047,1457510,4
2019-05-07 14:04:59.666,5.0,buy,175.34,ETH-17MAY19-170-P,74.33,0.034,5.0,2,1557237899666,1566252,5
2019-05-07 23:52:30.668,55.0,buy,166.98,ETH-17MAY19-170-P,79.96,0.061,55.0,0,1557273150668,1593072,6
2019-05-07 23:52:30.711,11.0,buy,166.98,ETH-17MAY19-170-P,79.96,0.061,11.0,1,1557273150711,1593083,7
2019-05-07 23:52:30.740,27.0,buy,166.98,ETH-17MAY19-170-P,79.96,0.061,27.0,1,1557273150740,1593093,8
2019-05-07 23:52:33.236,41.0,buy,166.67,ETH-17MAY19-170-P,82.95,0.064,41.0,0,1557273153236,1593274,9
2019-05-09 12:05:11.688,2.0,buy,168.33,ETH-17MAY19-170-P,76.44,0.05,2.0,2,1557403511688,1657260,10
2019-05-10 01:00:07.325,1.0,sell,168.26,ETH-17MAY19-170-P,71.7,0.046,1.0,2,1557450007325,1671264,11
2019-05-10 08:07:35.222,1.0,sell,175.17,ETH-17MAY19-170-P,28.46,0.005,1.0,2,1557475655222,1686286,12
2019-05-10 08:16:06.290,10.0,buy,173.03,ETH-17MAY19-170-P,75.26,0.033,10.0,0,1557476166290,1687124,13
2019-05-10 08:28:26.556,80.0,buy,172.15,ETH-17MAY19-170-P,74.71,0.035,80.0,0,1557476906556,1688262,14
2019-05-10 09:49:37.931,1.0,sell,172.87,ETH-17MAY19-170-P,72.98,0.032,1.0,2,1557481777931,1690461,15
2019-05-10 09:50:40.740,1.0,sell,172.94,ETH-17MAY19-170-P,73.32,0.032,1.0,3,1557481840740,1690467,16
2019-05-10 09:51:46.918,1.0,sell,173.06,ETH-17MAY19-170-P,73.9,0.032,1.0,3,1557481906918,1690475,17
2019-05-10 20:58:33.274,1.0,sell,171.39,ETH-17MAY19-170-P,73.67,0.035,1.0,0,1557521913274,1711596,18
2019-05-10 22:41:18.079,5.0,sell,172.34,ETH-17MAY19-170-P,75.23,0.033,5.0,2,1557528078079,1714346,19
2019-05-10 23:50:50.922,10.0,buy,172.07,ETH-17MAY19-170-P,81.83,0.037000000000000005,10.0,0,1557532250922,1717292,20
2019-05-10 23:50:50.922,40.0,buy,172.07,ETH-17MAY19-170-P,83.76,0.038,40.0,0,1557532250922,1717293,21
2019-05-11 06:16:45.813,20.0,buy,176.31,ETH-17MAY19-170-P,86.29,0.027999999999999997,20.0,2,1557555405813,1733710,22
2019-05-11 07:19:21.681,200.0,sell,177.33,ETH-17MAY19-170-P,73.84,0.02,200.0,2,1557559161681,1741352,23
2019-05-11 08:24:26.774,150.0,sell,182.58,ETH-17MAY19-170-P,82.1,0.015,150.0,2,1557563066774,1745500,24
2019-05-11 10:57:17.116,1.0,buy,192.44,ETH-17MAY19-170-P,95.26,0.009000000000000001,1.0,2,1557572237116,1769220,25
2019-05-11 14:52:29.366,50.0,buy,189.06,ETH-17MAY19-170-P,79.94,0.006999999999999999,50.0,2,1557586349366,1784661,26
2019-05-11 15:30:35.993,52.0,buy,192.54,ETH-17MAY19-170-P,81.04,0.005,52.0,2,1557588635993,1788100,27
2019-05-11 16:07:09.852,51.0,buy,191.11,ETH-17MAY19-170-P,81.9,0.006,51.0,0,1557590829852,1791228,28
2019-05-11 17:19:40.790,5.0,sell,191.59,ETH-17MAY19-170-P,79.19,0.005,5.0,2,1557595180790,1795715,29
2019-05-11 18:02:25.424,2.0,buy,198.34,ETH-17MAY19-170-P,90.58,0.004,2.0,2,1557597745424,1803429,30
2019-05-11 19:18:42.342,2.0,sell,195.9,ETH-17MAY19-170-P,79.55,0.003,2.0,2,1557602322342,1809286,31
2019-05-11 19:40:01.701,120.0,buy,195.48,ETH-17MAY19-170-P,84.49,0.004,120.0,0,1557603601701,1810906,32
2019-05-11 20:26:58.457,2.0,sell,196.76,ETH-17MAY19-170-P,74.78,0.002,2.0,2,1557606418457,1814408,33
2019-05-11 20:34:05.132,120.0,buy,196.61,ETH-17MAY19-170-P,87.43,0.004,120.0,0,1557606845132,1814940,34
2019-05-12 02:56:32.270,109.0,buy,193.68,ETH-17MAY19-170-P,108.53,0.01,109.0,0,1557629792270,1886577,35
2019-05-12 07:08:26.994,250.0,sell,198.99,ETH-17MAY19-170-P,102.62,0.005,250.0,2,1557644906994,1903921,36
2019-05-12 07:08:54.746,250.0,sell,199.28,ETH-17MAY19-170-P,97.62,0.004,250.0,2,1557644934746,1903935,37
2019-05-12 07:27:38.090,2.0,buy,203.94,ETH-17MAY19-170-P,114.79,0.005,2.0,0,1557646058090,1907240,38
2019-05-12 07:29:39.887,10.0,sell,203.47,ETH-17MAY19-170-P,100.65,0.003,10.0,2,1557646179887,1907731,39
2019-05-12 08:26:32.072,200.0,sell,193.8,ETH-17MAY19-170-P,89.91,0.005,200.0,0,1557649592072,1919212,40
2019-05-12 09:02:36.169,1.0,sell,196.85,ETH-17MAY19-170-P,92.5,0.004,1.0,2,1557651756169,1922943,41
