date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-04-05,ETH,19APR19,150,P,0.026,86.93,4,165.15,ETH-19APR19-150-P
2019-04-06,ETH,19APR19,150,P,0.02,88.57,3,168.67,ETH-19APR19-150-P
2019-04-07,ETH,19APR19,150,P,0.013999999999999999,94.19,4,174.68,ETH-19APR19-150-P
2019-04-08,ETH,19APR19,150,P,0.01,88.98,3,176.07,ETH-19APR19-150-P
2019-04-09,ETH,19APR19,150,P,0.008,88.88,2,177.66,ETH-19APR19-150-P
2019-04-10,ETH,19APR19,150,P,0.003,78.0,4,180.39,ETH-19APR19-150-P
2019-04-11,ETH,19APR19,150,P,0.006999999999999999,66.15,5,165.55,ETH-19APR19-150-P
2019-04-12,ETH,19APR19,150,P,0.006,67.65,7,165.78,ETH-19APR19-150-P
2019-04-13,ETH,19APR19,150,P,0.006999999999999999,73.78,10,164.12,ETH-19APR19-150-P
2019-04-14,ETH,19APR19,150,P,0.006999999999999999,95.51,6,168.04,ETH-19APR19-150-P
2019-04-15,ETH,19APR19,150,P,0.008,81.34,2,160.64,ETH-19APR19-150-P
2019-04-16,ETH,19APR19,150,P,0.001,76.49,7,166.83,ETH-19APR19-150-P
