date_utc,amount,direction,indexPrice,instrument,iv,price,quantity,tickDirection,timeStamp,tradeId,tradeSeq
2019-04-05 09:32:53.643,30.0,buy,163.36,ETH-19APR19-160-C,100.59,0.092,30.0,1,1554456773643,473524,1
2019-04-05 09:32:58.547,30.0,buy,163.36,ETH-19APR19-160-C,101.91,0.093,30.0,0,1554456778547,473526,2
2019-04-05 19:30:16.270,22.0,buy,163.76,ETH-19APR19-160-C,91.18,0.085,22.0,2,1554492616270,486614,3
2019-04-06 23:21:38.305,10.0,sell,164.75,ETH-19APR19-160-C,89.94,0.084,10.0,2,1554592898305,529217,4
2019-04-07 02:57:52.740,10.0,buy,167.29,ETH-19APR19-160-C,82.56,0.087,10.0,0,1554605872740,531940,5
2019-04-08 02:07:24.677,85.0,buy,186.13,ETH-19APR19-160-C,104.53,0.16399999999999998,85.0,0,1554689244677,597424,6
2019-04-08 02:07:24.750,18.0,buy,186.13,ETH-19APR19-160-C,104.53,0.16399999999999998,18.0,1,1554689244750,597434,7
2019-04-08 02:07:27.620,52.0,buy,186.28,ETH-19APR19-160-C,103.32,0.16399999999999998,52.0,1,1554689247620,597475,8
2019-04-08 06:40:46.674,20.0,sell,180.98,ETH-19APR19-160-C,110.14,0.14800000000000002,20.0,2,1554705646674,613153,9
2019-04-10 00:11:43.417,2.0,buy,175.74,ETH-19APR19-160-C,102.36,0.117,2.0,2,1554855103417,714688,10
