date_utc,amount,direction,indexPrice,instrument,iv,price,quantity,tickDirection,timeStamp,tradeId,tradeSeq
2019-06-07 17:47:34.475,20.0,sell,253.21,ETH-21JUN19-230-P,76.87,0.022000000000000002,20.0,1,1559929654475,4500479,1
2019-06-09 21:16:16.212,20.0,buy,232.64,ETH-21JUN19-230-P,80.49,0.051,20.0,0,1560114976212,4564869,2
2019-06-12 14:06:27.454,1.0,sell,249.05,ETH-21JUN19-230-P,72.15,0.015,1.0,2,1560348387454,4672411,3
2019-06-12 14:15:47.459,20.0,buy,247.9,ETH-21JUN19-230-P,71.92,0.016,20.0,0,1560348947459,4672685,4
2019-06-12 14:15:47.459,1.0,buy,247.9,ETH-21JUN19-230-P,71.92,0.016,1.0,1,1560348947459,4672686,5
2019-06-13 22:41:27.422,51.0,buy,256.26,ETH-21JUN19-230-P,77.43,0.009000000000000001,51.0,2,1560465687422,4726458,6
2019-06-13 22:41:27.493,49.0,buy,256.15,ETH-21JUN19-230-P,77.23,0.009000000000000001,49.0,3,1560465687493,4726462,7
2019-06-14 01:16:00.318,5.0,buy,253.6,ETH-21JUN19-230-P,75.8,0.01,5.0,0,1560474960318,4733398,8
2019-06-14 01:16:00.318,45.0,buy,253.6,ETH-21JUN19-230-P,75.8,0.01,45.0,1,1560474960318,4733399,9
2019-06-14 01:16:24.046,51.0,buy,253.02,ETH-21JUN19-230-P,74.65,0.01,51.0,1,1560474984046,4733537,10
2019-06-14 01:16:24.147,4.0,buy,253.02,ETH-21JUN19-230-P,74.65,0.01,4.0,1,1560474984147,4733542,11
2019-06-14 08:03:11.713,2.0,sell,256.52,ETH-21JUN19-230-P,70.08,0.006,2.0,2,1560499391713,4739012,12
2019-06-14 09:02:29.396,10.0,buy,255.75,ETH-21JUN19-230-P,81.84,0.01,10.0,0,1560502949396,4741547,13
2019-06-14 09:13:43.416,20.0,buy,255.34,ETH-21JUN19-230-P,81.08,0.01,20.0,1,1560503623416,4743091,14
2019-06-14 15:58:06.474,2.0,sell,257.1,ETH-21JUN19-230-P,72.85,0.006,2.0,2,1560527886474,4756843,15
2019-06-14 16:10:30.944,1.0,sell,257.56,ETH-21JUN19-230-P,73.72,0.006,1.0,3,1560528630944,4757315,16
2019-06-16 05:48:51.167,20.0,sell,276.06,ETH-21JUN19-230-P,81.79,0.001,20.0,2,1560664131167,4817158,17
2019-06-16 08:02:09.735,5.0,sell,278.06,ETH-21JUN19-230-P,85.3,0.001,5.0,3,1560672129735,4823487,18
2019-06-16 14:57:08.994,163.0,sell,272.65,ETH-21JUN19-230-P,80.11,0.001,163.0,3,1560697028994,4848476,19
2019-06-16 20:14:46.707,5.0,buy,265.33,ETH-21JUN19-230-P,88.8,0.003,5.0,0,1560716086707,4867278,20
2019-06-16 20:14:46.707,100.0,buy,265.33,ETH-21JUN19-230-P,88.8,0.003,100.0,1,1560716086707,4867279,21
2019-06-16 20:30:15.075,400.0,sell,266.02,ETH-21JUN19-230-P,82.4,0.002,400.0,2,1560717015075,4868538,22
2019-06-17 03:35:16.772,2.0,buy,269.45,ETH-21JUN19-230-P,91.27,0.002,2.0,3,1560742516772,4880923,23
2019-06-17 03:35:16.772,8.0,buy,269.45,ETH-21JUN19-230-P,91.27,0.002,8.0,3,1560742516772,4880924,24
2019-06-19 02:08:00.348,3.0,buy,266.08,ETH-21JUN19-230-P,101.93,0.001,3.0,2,1560910080348,4974995,25
2019-06-19 02:08:00.348,22.0,buy,266.08,ETH-21JUN19-230-P,101.93,0.001,22.0,3,1560910080348,4974996,26
