date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-05-11,ETH,24MAY19,250,C,0.015,107.89,11,200.71,ETH-24MAY19-250-C
2019-05-12,ETH,24MAY19,250,C,0.008,116.98,2,184.89,ETH-24MAY19-250-C
2019-05-13,ETH,24MAY19,250,C,0.021,131.25,3,200.64,ETH-24MAY19-250-C
2019-05-14,ETH,24MAY19,250,C,0.023,127.4,3,206.69,ETH-24MAY19-250-C
2019-05-15,ETH,24MAY19,250,C,0.066,112.83,8,248.91,ETH-24MAY19-250-C
2019-05-16,ETH,24MAY19,250,C,0.105,124.75,21,266.51,ETH-24MAY19-250-C
2019-05-17,ETH,24MAY19,250,C,0.055,143.23,17,238.17,ETH-24MAY19-250-C
2019-05-18,ETH,24MAY19,250,C,0.035,120.76,8,236.06,ETH-24MAY19-250-C
2019-05-19,ETH,24MAY19,250,C,0.07200000000000001,110.08,14,261.47,ETH-24MAY19-250-C
2019-05-20,ETH,24MAY19,250,C,0.049,126.37,13,249.87,ETH-24MAY19-250-C
2019-05-21,ETH,24MAY19,250,C,0.069,113.22,2,264.16,ETH-24MAY19-250-C
2019-05-22,ETH,24MAY19,250,C,0.013000000000000001,111.05,9,240.79,ETH-24MAY19-250-C
2019-05-23,ETH,24MAY19,250,C,0.01,128.29,7,246.65,ETH-24MAY19-250-C
2019-05-24,ETH,24MAY19,250,C,0.007,126.58,1,244.81,ETH-24MAY19-250-C
