date_utc,amount,direction,indexPrice,instrument,iv,price,quantity,tickDirection,timeStamp,tradeId,tradeSeq
2019-06-12 10:32:27.137,10.0,sell,248.34,ETH-26JUL19-220-P,76.5,0.052000000000000005,10.0,1,1560335547137,4668390,1
2019-06-14 17:32:47.305,1.0,buy,255.96,ETH-26JUL19-220-P,81.75,0.046,1.0,2,1560533567305,4759693,2
2019-06-15 00:59:24.218,1.0,sell,263.96,ETH-26JUL19-220-P,76.3,0.032,1.0,2,1560560364218,4776708,3
2019-06-15 20:16:36.680,100.0,buy,268.34,ETH-26JUL19-220-P,80.65,0.031,100.0,2,1560629796680,4801057,4
2019-06-16 08:46:33.119,56.0,buy,269.67,ETH-26JUL19-220-P,81.07,0.028999999999999998,56.0,2,1560674793119,4827169,5
2019-06-16 08:46:34.497,4.0,buy,269.69,ETH-26JUL19-220-P,81.08,0.028999999999999998,4.0,3,1560674794497,4827258,6
2019-06-16 08:46:34.573,3.0,buy,269.64,ETH-26JUL19-220-P,81.08,0.028999999999999998,3.0,3,1560674794573,4827261,7
2019-06-16 08:46:35.605,18.0,buy,269.65,ETH-26JUL19-220-P,81.0,0.028999999999999998,18.0,3,1560674795605,4827302,8
2019-06-16 08:46:35.970,5.0,buy,269.65,ETH-26JUL19-220-P,81.0,0.028999999999999998,5.0,3,1560674795970,4827310,9
2019-06-16 08:46:48.600,14.0,buy,269.1,ETH-26JUL19-220-P,80.47,0.028999999999999998,14.0,3,1560674808600,4827781,10
2019-06-16 16:56:06.344,225.0,sell,272.76,ETH-26JUL19-220-P,84.7,0.028999999999999998,225.0,3,1560704166344,4853516,11
2019-06-17 22:21:02.147,30.0,buy,273.33,ETH-26JUL19-220-P,89.41,0.032,30.0,0,1560810062147,4921316,12
2019-06-17 22:21:45.328,30.0,buy,273.24,ETH-26JUL19-220-P,89.34,0.032,30.0,1,1560810105328,4921318,13
2019-06-18 13:36:37.325,1.0,buy,268.11,ETH-26JUL19-220-P,89.34,0.035,1.0,0,1560864997325,4952829,14
