date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-06-11,ETH,26JUL19,360,C,0.013000000000000001,81.32,6,242.43,ETH-26JUL19-360-C
2019-06-12,ETH,26JUL19,360,C,0.022000000000000002,82.44,2,261.75,ETH-26JUL19-360-C
2019-06-13,ETH,26JUL19,360,C,0.021,82.17,3,260.61,ETH-26JUL19-360-C
2019-06-14,ETH,26JUL19,360,C,0.027999999999999997,89.88,9,263.95,ETH-26JUL19-360-C
2019-06-15,ETH,26JUL19,360,C,0.032,89.61,11,270.02,ETH-26JUL19-360-C
2019-06-16,ETH,26JUL19,360,C,0.034,92.64,5,269.52,ETH-26JUL19-360-C
2019-06-17,ETH,26JUL19,360,C,0.044000000000000004,101.65,9,272.91,ETH-26JUL19-360-C
2019-06-18,ETH,26JUL19,360,C,0.034,97.66,4,265.26,ETH-26JUL19-360-C
2019-06-19,ETH,26JUL19,360,C,0.037000000000000005,101.15,2,267.19,ETH-26JUL19-360-C
2019-06-20,ETH,26JUL19,360,C,0.031,95.7,4,267.42,ETH-26JUL19-360-C
