date_utc,amount,direction,indexPrice,instrument,iv,price,quantity,tickDirection,timeStamp,tradeId,tradeSeq
2019-06-16 13:56:03.382,15.0,buy,273.46,ETH-26JUL19-400-C,94.79,0.022,15.0,1,1560693363382,4846071,1
2019-06-16 17:12:52.107,10.0,sell,271.96,ETH-26JUL19-400-C,87.72,0.016,10.0,2,1560705172107,4854152,2
2019-06-16 23:17:59.540,297.0,buy,270.84,ETH-26JUL19-400-C,94.51,0.02,297.0,0,1560727079540,4873379,3
2019-06-18 11:14:43.344,4.0,buy,267.93,ETH-26JUL19-400-C,102.28,0.023,4.0,0,1560856483344,4949967,4
2019-06-18 13:24:00.876,1.0,buy,267.98,ETH-26JUL19-400-C,98.31,0.02,1.0,2,1560864240876,4952575,5
2019-06-18 13:26:01.815,1.0,buy,268.19,ETH-26JUL19-400-C,99.48,0.021,1.0,0,1560864361815,4952606,6
2019-06-18 17:33:07.832,10.0,buy,261.61,ETH-26JUL19-400-C,103.82,0.021,10.0,1,1560879187832,4961042,7
2019-06-18 21:50:26.665,5.0,sell,262.12,ETH-26JUL19-400-C,99.65,0.018000000000000002,5.0,2,1560894626665,4967218,8
2019-06-19 03:08:17.333,10.0,buy,266.59,ETH-26JUL19-400-C,98.75,0.019,10.0,0,1560913697333,4975729,9
2019-06-19 06:46:50.436,8.0,buy,267.9,ETH-26JUL19-400-C,102.42,0.022000000000000002,8.0,0,1560926810436,4978298,10
2019-06-19 12:53:23.292,8.0,sell,265.44,ETH-26JUL19-400-C,101.51,0.02,8.0,2,1560948803292,4982917,11
2019-06-19 23:30:05.142,106.0,sell,268.83,ETH-26JUL19-400-C,95.6,0.017,106.0,2,1560987005142,4995722,12
2019-06-19 23:30:05.142,184.0,sell,268.83,ETH-26JUL19-400-C,95.6,0.017,184.0,3,1560987005142,4995723,13
