date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-03-26,ETH,27SEP19,140,P,0.225,69.7,2,133.44,ETH-27SEP19-140-P
2019-03-27,ETH,27SEP19,140,P,0.205,70.84,1,137.75,ETH-27SEP19-140-P
2019-03-28,ETH,27SEP19,140,P,0.19,64.24,12,137.0,ETH-27SEP19-140-P
2019-03-31,ETH,27SEP19,140,P,0.183,71.62,1,140.97,ETH-27SEP19-140-P
2019-04-01,ETH,27SEP19,140,P,0.16699999999999998,65.99,2,141.12,ETH-27SEP19-140-P
2019-04-02,ETH,27SEP19,140,P,0.162,66.77,4,143.0,ETH-27SEP19-140-P
2019-04-03,ETH,27SEP19,140,P,0.118,80.52,1,167.01,ETH-27SEP19-140-P
2019-04-08,ETH,27SEP19,140,P,0.092,83.85,4,178.61,ETH-27SEP19-140-P
2019-04-09,ETH,27SEP19,140,P,0.079,76.89,2,177.66,ETH-27SEP19-140-P
2019-04-14,ETH,27SEP19,140,P,0.096,68.48,3,163.73,ETH-27SEP19-140-P
2019-04-15,ETH,27SEP19,140,P,0.105,69.39,3,159.69,ETH-27SEP19-140-P
2019-04-16,ETH,27SEP19,140,P,0.092,68.32,4,164.51,ETH-27SEP19-140-P
2019-04-17,ETH,27SEP19,140,P,0.09,68.93,4,166.42,ETH-27SEP19-140-P
