date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-03-27,ETH,27SEP19,220,C,0.071,74.67,3,139.03,ETH-27SEP19-220-C
2019-03-28,ETH,27SEP19,220,C,0.055,69.23,5,136.94,ETH-27SEP19-220-C
2019-03-29,ETH,27SEP19,220,C,0.055,66.82,2,140.8,ETH-27SEP19-220-C
2019-04-01,ETH,27SEP19,220,C,0.06,68.72,1,140.89,ETH-27SEP19-220-C
2019-04-02,ETH,27SEP19,220,C,0.102,76.09,3,155.48,ETH-27SEP19-220-C
2019-04-04,ETH,27SEP19,220,C,0.138,87.33,1,158.07,ETH-27SEP19-220-C
2019-04-05,ETH,27SEP19,220,C,0.127,79.61,2,163.62,ETH-27SEP19-220-C
2019-04-06,ETH,27SEP19,220,C,0.14300000000000002,82.24,1,170.78,ETH-27SEP19-220-C
2019-04-08,ETH,27SEP19,220,C,0.17300000000000001,81.19,6,182.87,ETH-27SEP19-220-C
2019-04-09,ETH,27SEP19,220,C,0.155,78.14,1,177.14,ETH-27SEP19-220-C
2019-04-10,ETH,27SEP19,220,C,0.14,72.56,4,177.31,ETH-27SEP19-220-C
2019-04-11,ETH,27SEP19,220,C,0.116,75.23,2,163.32,ETH-27SEP19-220-C
2019-04-12,ETH,27SEP19,220,C,0.10099999999999999,71.65,3,163.67,ETH-27SEP19-220-C
2019-04-15,ETH,27SEP19,220,C,0.092,73.93,3,157.31,ETH-27SEP19-220-C
2019-04-19,ETH,27SEP19,220,C,0.106,68.65,1,173.2,ETH-27SEP19-220-C
2019-04-20,ETH,27SEP19,220,C,0.10800000000000001,69.54,1,173.7,ETH-27SEP19-220-C
2019-04-21,ETH,27SEP19,220,C,0.096,67.85,1,169.28,ETH-27SEP19-220-C
2019-04-22,ETH,27SEP19,220,C,0.099,67.78,1,171.99,ETH-27SEP19-220-C
2019-04-23,ETH,27SEP19,220,C,0.105,69.81,1,172.58,ETH-27SEP19-220-C
2019-04-24,ETH,27SEP19,220,C,0.083,69.81,1,161.01,ETH-27SEP19-220-C
2019-04-25,ETH,27SEP19,220,C,0.066,68.51,2,153.4,ETH-27SEP19-220-C
2019-04-26,ETH,27SEP19,220,C,0.06,65.6,2,152.68,ETH-27SEP19-220-C
2019-04-27,ETH,27SEP19,220,C,0.066,68.27,1,153.26,ETH-27SEP19-220-C
2019-04-29,ETH,27SEP19,220,C,0.059000000000000004,68.06,2,151.0,ETH-27SEP19-220-C
2019-05-01,ETH,27SEP19,220,C,0.065,66.05,1,159.68,ETH-27SEP19-220-C
2019-05-02,ETH,27SEP19,220,C,0.065,67.68,3,157.47,ETH-27SEP19-220-C
2019-05-04,ETH,27SEP19,220,C,0.078,69.8,3,162.52,ETH-27SEP19-220-C
2019-05-05,ETH,27SEP19,220,C,0.078,70.06,1,162.47,ETH-27SEP19-220-C
2019-05-06,ETH,27SEP19,220,C,0.10099999999999999,71.97,2,173.23,ETH-27SEP19-220-C
2019-05-07,ETH,27SEP19,220,C,0.091,73.01,3,166.67,ETH-27SEP19-220-C
2019-05-08,ETH,27SEP19,220,C,0.096,74.6,1,168.74,ETH-27SEP19-220-C
2019-05-09,ETH,27SEP19,220,C,0.092,74.88,6,167.14,ETH-27SEP19-220-C
2019-05-10,ETH,27SEP19,220,C,0.10800000000000001,76.37,2,175.36,ETH-27SEP19-220-C
2019-05-11,ETH,27SEP19,220,C,0.153,82.49,3,191.75,ETH-27SEP19-220-C
