date_utc,amount,direction,indexPrice,instrument,iv,price,quantity,tickDirection,timeStamp,tradeId,tradeSeq
2019-05-08 00:03:56.831,1.0,buy,164.81,ETH-27SEP19-280-P,90.09,0.737,1.0,1,1557273836831,1599005,1
2019-05-08 00:03:56.831,1.0,buy,164.81,ETH-27SEP19-280-P,90.09,0.737,1.0,1,1557273836831,1599006,2
2019-05-25 16:29:20.698,2.0,sell,251.25,ETH-27SEP19-280-P,100.14,0.287,2.0,2,1558801760698,3535707,3
2019-05-25 22:20:22.557,4.0,buy,253.15,ETH-27SEP19-280-P,94.33,0.268,4.0,2,1558822822557,3545375,4
2019-05-27 16:34:07.332,25.0,sell,277.1,ETH-27SEP19-280-P,101.16,0.199,25.0,2,1558974847332,3690432,5
2019-05-28 05:44:56.503,40.0,sell,268.63,ETH-27SEP19-280-P,95.22,0.204,40.0,0,1559022296503,3739963,6
2019-05-28 05:44:56.503,80.0,sell,268.63,ETH-27SEP19-280-P,95.22,0.204,80.0,1,1559022296503,3739964,7
2019-05-28 05:44:56.503,40.0,sell,268.63,ETH-27SEP19-280-P,95.22,0.204,40.0,1,1559022296503,3739965,8
2019-05-28 05:52:49.436,160.0,sell,269.3,ETH-27SEP19-280-P,95.64,0.204,160.0,1,1559022769436,3740568,9
2019-05-29 12:10:19.751,1.0,sell,269.16,ETH-27SEP19-280-P,94.84,0.229,1.0,0,1559131819751,3829550,10
2019-05-29 13:54:28.339,50.0,sell,273.4,ETH-27SEP19-280-P,98.95,0.228,50.0,2,1559138068339,3833867,11
2019-05-29 13:54:32.353,2.0,sell,273.52,ETH-27SEP19-280-P,99.07,0.228,2.0,3,1559138072353,3833875,12
2019-05-29 13:55:19.946,28.0,sell,274.0,ETH-27SEP19-280-P,99.62,0.228,28.0,3,1559138119946,3833974,13
2019-05-29 18:45:29.368,40.0,sell,271.02,ETH-27SEP19-280-P,95.8,0.223,40.0,2,1559155529368,3847851,14
2019-05-29 18:48:08.360,50.0,buy,270.85,ETH-27SEP19-280-P,95.25,0.222,50.0,2,1559155688360,3848010,15
2019-05-29 18:48:08.381,51.0,buy,270.85,ETH-27SEP19-280-P,95.25,0.222,51.0,3,1559155688381,3848011,16
2019-05-29 18:48:38.398,40.0,buy,270.51,ETH-27SEP19-280-P,94.99,0.222,40.0,3,1559155718398,3848063,17
2019-05-29 18:50:39.540,40.0,sell,270.63,ETH-27SEP19-280-P,94.04,0.22,40.0,2,1559155839540,3848183,18
2019-05-29 18:51:05.956,40.0,sell,270.68,ETH-27SEP19-280-P,93.05,0.218,40.0,2,1559155865956,3848231,19
2019-05-29 18:51:55.313,52.0,buy,270.93,ETH-27SEP19-280-P,94.67,0.221,52.0,0,1559155915313,3848311,20
2019-05-29 18:51:55.327,50.0,buy,270.93,ETH-27SEP19-280-P,94.67,0.221,50.0,1,1559155915327,3848312,21
2019-05-29 18:55:11.711,84.0,buy,271.34,ETH-27SEP19-280-P,94.72,0.22,84.0,2,1559156111711,3848399,22
2019-05-29 19:08:22.888,40.0,buy,271.21,ETH-27SEP19-280-P,95.05,0.221,40.0,0,1559156902888,3848561,23
2019-05-30 00:40:53.318,5.0,buy,271.18,ETH-27SEP19-280-P,99.77,0.22,5.0,2,1559176853318,3865712,24
2019-05-30 02:37:40.903,5.0,buy,270.01,ETH-27SEP19-280-P,98.58,0.217,5.0,2,1559183860903,3875682,25
2019-05-30 05:22:40.997,1.0,buy,283.74,ETH-27SEP19-280-P,97.41,0.18,1.0,2,1559193760997,3901586,26
2019-05-30 16:15:43.377,5.0,buy,281.57,ETH-27SEP19-280-P,93.61,0.183,5.0,0,1559232943377,3931992,27
2019-05-30 21:25:36.073,1.0,buy,246.6,ETH-27SEP19-280-P,99.35,0.29100000000000004,1.0,0,1559251536073,3986775,28
2019-05-30 21:25:38.653,1.0,buy,246.4,ETH-27SEP19-280-P,98.95,0.29100000000000004,1.0,1,1559251538653,3986837,29
2019-05-30 21:25:41.610,1.0,sell,245.64,ETH-27SEP19-280-P,99.18,0.294,1.0,0,1559251541610,3986943,30
2019-05-30 21:25:44.930,1.0,sell,245.9,ETH-27SEP19-280-P,101.05,0.298,1.0,0,1559251544930,3987066,31
2019-05-30 21:25:48.572,1.0,sell,245.2,ETH-27SEP19-280-P,101.08,0.3,1.0,0,1559251548572,3987216,32
2019-05-30 21:25:52.065,1.0,sell,245.19,ETH-27SEP19-280-P,100.82,0.301,1.0,0,1559251552065,3987457,33
