date_utc,amount,direction,indexPrice,instrument,iv,price,quantity,tickDirection,timeStamp,tradeId,tradeSeq
2019-03-29 23:02:05.346,3.0,buy,140.97,ETH-27SEP19-320-C,78.71,0.026000000000000002,3.0,1,1553900525346,204331,1
2019-03-29 23:03:10.608,2.0,buy,140.95,ETH-27SEP19-320-C,78.76,0.026000000000000002,2.0,1,1553900590608,204351,2
2019-03-29 23:06:13.846,5.0,buy,140.97,ETH-27SEP19-320-C,78.77,0.026000000000000002,5.0,1,1553900773846,204366,3
2019-03-31 08:05:35.856,115.0,buy,140.31,ETH-27SEP19-320-C,75.58,0.022000000000000002,115.0,2,1554019535856,225410,4
2019-04-02 13:09:37.106,1.0,buy,156.75,ETH-27SEP19-320-C,78.97,0.038,1.0,0,1554210577106,295801,5
2019-04-02 15:54:51.025,1.0,buy,155.55,ETH-27SEP19-320-C,79.37,0.038,1.0,1,1554220491025,306649,6
2019-04-02 23:28:33.562,1.0,buy,165.51,ETH-27SEP19-320-C,73.71,0.036000000000000004,1.0,2,1554247713562,334494,7
2019-04-03 22:08:37.479,1.0,buy,175.1,ETH-27SEP19-320-C,84.77,0.07,1.0,0,1554329317479,408701,8
2019-04-04 08:38:38.036,20.0,buy,163.22,ETH-27SEP19-320-C,88.61,0.062,20.0,2,1554367118036,436882,9
2019-04-04 21:25:12.351,1.0,buy,158.2,ETH-27SEP19-320-C,89.38,0.06,1.0,2,1554413112351,459296,10
2019-04-04 21:26:38.305,1.0,buy,158.15,ETH-27SEP19-320-C,89.53,0.06,1.0,3,1554413198305,459369,11
2019-04-04 21:27:17.277,1.0,buy,158.08,ETH-27SEP19-320-C,89.53,0.06,1.0,3,1554413237277,459393,12
2019-04-04 22:59:23.272,16.0,buy,157.2,ETH-27SEP19-320-C,89.48,0.059,16.0,2,1554418763272,460748,13
2019-04-06 16:12:31.473,1.0,buy,166.95,ETH-27SEP19-320-C,85.8,0.059,1.0,3,1554567151473,504790,14
2019-04-07 22:09:40.377,30.0,buy,174.58,ETH-27SEP19-320-C,82.4,0.063,30.0,0,1554674980377,571430,15
2019-04-07 22:54:03.519,20.0,buy,173.95,ETH-27SEP19-320-C,83.06,0.064,20.0,0,1554677643519,575291,16
2019-04-07 22:58:18.310,10.0,buy,173.73,ETH-27SEP19-320-C,84.48,0.066,10.0,0,1554677898310,575816,17
2019-04-07 23:17:54.449,1.0,buy,173.28,ETH-27SEP19-320-C,84.38,0.066,1.0,1,1554679074449,577864,18
2019-04-08 01:27:07.681,20.0,buy,182.82,ETH-27SEP19-320-C,85.71,0.08,20.0,0,1554686827681,594273,19
2019-04-08 01:27:23.672,3.0,sell,182.68,ETH-27SEP19-320-C,85.78,0.08,3.0,1,1554686843672,594298,20
2019-04-08 02:59:42.467,48.0,sell,182.67,ETH-27SEP19-320-C,80.93,0.071,48.0,2,1554692382467,602875,21
2019-04-08 13:36:51.412,1.0,buy,178.09,ETH-27SEP19-320-C,89.11,0.083,1.0,0,1554730611412,635704,22
2019-04-08 14:52:12.518,115.0,buy,179.0,ETH-27SEP19-320-C,87.31,0.08,115.0,2,1554735132518,638393,23
2019-04-08 19:14:27.757,5.0,buy,178.45,ETH-27SEP19-320-C,83.65,0.071,5.0,2,1554750867757,652753,24
2019-04-10 01:31:38.386,1.0,buy,180.44,ETH-27SEP19-320-C,81.77,0.069,1.0,2,1554859898386,718781,25
