date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-03-21,ETH,28JUN19,130,P,0.14800000000000002,84.66,7,136.27,ETH-28JUN19-130-P
2019-03-22,ETH,28JUN19,130,P,0.115,66.62,8,136.07,ETH-28JUN19-130-P
2019-03-23,ETH,28JUN19,130,P,0.12,69.75,1,136.36,ETH-28JUN19-130-P
2019-03-24,ETH,28JUN19,130,P,0.122,71.48,1,135.85,ETH-28JUN19-130-P
2019-03-25,ETH,28JUN19,130,P,0.122,71.14,1,135.12,ETH-28JUN19-130-P
2019-03-26,ETH,28JUN19,130,P,0.113,63.81,4,133.18,ETH-28JUN19-130-P
2019-03-27,ETH,28JUN19,130,P,0.097,64.38,1,137.75,ETH-28JUN19-130-P
2019-03-28,ETH,28JUN19,130,P,0.098,66.42,2,138.29,ETH-28JUN19-130-P
2019-03-29,ETH,28JUN19,130,P,0.1,67.41,1,137.86,ETH-28JUN19-130-P
2019-03-30,ETH,28JUN19,130,P,0.085,70.02,1,143.85,ETH-28JUN19-130-P
2019-03-31,ETH,28JUN19,130,P,0.07400000000000001,62.52,1,141.5,ETH-28JUN19-130-P
2019-04-02,ETH,28JUN19,130,P,0.046,68.07,18,157.94,ETH-28JUN19-130-P
2019-04-03,ETH,28JUN19,130,P,0.067,84.79,6,159.72,ETH-28JUN19-130-P
2019-04-04,ETH,28JUN19,130,P,0.055999999999999994,82.86,1,163.67,ETH-28JUN19-130-P
2019-04-05,ETH,28JUN19,130,P,0.043,75.19,10,164.59,ETH-28JUN19-130-P
2019-04-06,ETH,28JUN19,130,P,0.041,80.95,6,170.9,ETH-28JUN19-130-P
2019-04-08,ETH,28JUN19,130,P,0.028,79.54,12,178.77,ETH-28JUN19-130-P
2019-04-09,ETH,28JUN19,130,P,0.021,72.14,2,178.07,ETH-28JUN19-130-P
2019-04-11,ETH,28JUN19,130,P,0.034,70.1,5,165.32,ETH-28JUN19-130-P
2019-04-12,ETH,28JUN19,130,P,0.036000000000000004,71.25,5,164.26,ETH-28JUN19-130-P
2019-04-13,ETH,28JUN19,130,P,0.036000000000000004,70.84,2,164.17,ETH-28JUN19-130-P
2019-04-14,ETH,28JUN19,130,P,0.031,67.62,2,164.53,ETH-28JUN19-130-P
2019-04-15,ETH,28JUN19,130,P,0.03,69.17,1,166.4,ETH-28JUN19-130-P
2019-04-16,ETH,28JUN19,130,P,0.034,71.83,3,164.84,ETH-28JUN19-130-P
2019-04-17,ETH,28JUN19,130,P,0.029,67.77,2,164.74,ETH-28JUN19-130-P
2019-04-18,ETH,28JUN19,130,P,0.019,68.64,2,175.29,ETH-28JUN19-130-P
2019-04-22,ETH,28JUN19,130,P,0.02,67.42,1,171.09,ETH-28JUN19-130-P
2019-04-23,ETH,28JUN19,130,P,0.016,66.17,3,174.76,ETH-28JUN19-130-P
2019-04-24,ETH,28JUN19,130,P,0.026000000000000002,64.71,4,162.13,ETH-28JUN19-130-P
2019-04-25,ETH,28JUN19,130,P,0.02,60.81,10,164.28,ETH-28JUN19-130-P
2019-04-26,ETH,28JUN19,130,P,0.037000000000000005,63.5,3,151.23,ETH-28JUN19-130-P
2019-04-27,ETH,28JUN19,130,P,0.027000000000000003,60.56,3,156.49,ETH-28JUN19-130-P
2019-04-29,ETH,28JUN19,130,P,0.031,60.42,4,153.48,ETH-28JUN19-130-P
2019-04-30,ETH,28JUN19,130,P,0.028999999999999998,63.31,2,157.14,ETH-28JUN19-130-P
2019-05-01,ETH,28JUN19,130,P,0.023,60.8,9,159.44,ETH-28JUN19-130-P
2019-05-02,ETH,28JUN19,130,P,0.025,62.79,7,158.79,ETH-28JUN19-130-P
2019-05-03,ETH,28JUN19,130,P,0.018000000000000002,65.26,3,167.02,ETH-28JUN19-130-P
2019-05-04,ETH,28JUN19,130,P,0.022000000000000002,62.36,4,159.79,ETH-28JUN19-130-P
2019-05-06,ETH,28JUN19,130,P,0.013000000000000001,69.9,6,175.57,ETH-28JUN19-130-P
2019-05-07,ETH,28JUN19,130,P,0.013999999999999999,67.26,4,171.57,ETH-28JUN19-130-P
2019-05-08,ETH,28JUN19,130,P,0.017,68.36,1,168.46,ETH-28JUN19-130-P
2019-05-09,ETH,28JUN19,130,P,0.017,67.21,19,167.2,ETH-28JUN19-130-P
2019-05-10,ETH,28JUN19,130,P,0.015,73.58,6,175.35,ETH-28JUN19-130-P
2019-05-11,ETH,28JUN19,130,P,0.01,66.84,2,177.25,ETH-28JUN19-130-P
2019-05-12,ETH,28JUN19,130,P,0.01,80.05,5,189.15,ETH-28JUN19-130-P
2019-05-13,ETH,28JUN19,130,P,0.013999999999999999,99.89,3,200.14,ETH-28JUN19-130-P
2019-05-14,ETH,28JUN19,130,P,0.006,86.13,2,205.1,ETH-28JUN19-130-P
2019-05-15,ETH,28JUN19,130,P,0.004,99.01,1,233.45,ETH-28JUN19-130-P
2019-05-16,ETH,28JUN19,130,P,0.003,113.29,2,266.46,ETH-28JUN19-130-P
2019-05-18,ETH,28JUN19,130,P,0.003,99.32,3,238.09,ETH-28JUN19-130-P
2019-05-21,ETH,28JUN19,130,P,0.004,118.74,1,253.12,ETH-28JUN19-130-P
2019-05-27,ETH,28JUN19,130,P,0.001,114.24,1,268.98,ETH-28JUN19-130-P
2019-05-30,ETH,28JUN19,130,P,0.001,100.42,1,242.65,ETH-28JUN19-130-P
2019-06-13,ETH,28JUN19,130,P,0.001,156.86,1,259.52,ETH-28JUN19-130-P
