date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-03-21,ETH,28JUN19,140,C,0.13699999999999998,75.08,40,134.52,ETH-28JUN19-140-C
2019-03-22,ETH,28JUN19,140,C,0.129,69.77,6,136.08,ETH-28JUN19-140-C
2019-03-24,ETH,28JUN19,140,C,0.13,71.91,1,134.54,ETH-28JUN19-140-C
2019-03-25,ETH,28JUN19,140,C,0.121,70.15,8,132.88,ETH-28JUN19-140-C
2019-03-27,ETH,28JUN19,140,C,0.127,66.15,3,137.25,ETH-28JUN19-140-C
2019-03-28,ETH,28JUN19,140,C,0.125,64.68,2,137.72,ETH-28JUN19-140-C
2019-03-29,ETH,28JUN19,140,C,0.138,65.98,1,141.3,ETH-28JUN19-140-C
2019-03-31,ETH,28JUN19,140,C,0.146,67.46,1,141.98,ETH-28JUN19-140-C
2019-04-02,ETH,28JUN19,140,C,0.21,70.58,6,159.99,ETH-28JUN19-140-C
2019-04-03,ETH,28JUN19,140,C,0.21,87.12,9,153.25,ETH-28JUN19-140-C
2019-04-04,ETH,28JUN19,140,C,0.24,82.0,2,163.69,ETH-28JUN19-140-C
2019-04-06,ETH,28JUN19,140,C,0.242,80.42,1,164.74,ETH-28JUN19-140-C
2019-04-09,ETH,28JUN19,140,C,0.273,69.15,2,177.25,ETH-28JUN19-140-C
2019-04-11,ETH,28JUN19,140,C,0.22,73.8,1,163.66,ETH-28JUN19-140-C
2019-04-12,ETH,28JUN19,140,C,0.224,74.2,5,165.36,ETH-28JUN19-140-C
2019-04-15,ETH,28JUN19,140,C,0.19,71.85,1,157.78,ETH-28JUN19-140-C
2019-04-18,ETH,28JUN19,140,C,0.242,65.66,1,174.53,ETH-28JUN19-140-C
2019-04-24,ETH,28JUN19,140,C,0.205,68.85,1,164.83,ETH-28JUN19-140-C
2019-04-25,ETH,28JUN19,140,C,0.156,57.56,1,156.12,ETH-28JUN19-140-C
2019-04-28,ETH,28JUN19,140,C,0.151,62.39,2,153.22,ETH-28JUN19-140-C
2019-04-29,ETH,28JUN19,140,C,0.142,57.67,2,152.75,ETH-28JUN19-140-C
2019-04-30,ETH,28JUN19,140,C,0.172,63.39,2,159.41,ETH-28JUN19-140-C
2019-05-01,ETH,28JUN19,140,C,0.152,55.86,3,157.08,ETH-28JUN19-140-C
2019-05-09,ETH,28JUN19,140,C,0.201,69.94,1,167.67,ETH-28JUN19-140-C
2019-05-10,ETH,28JUN19,140,C,0.005,0.0,1,174.1,ETH-28JUN19-140-C
2019-05-11,ETH,28JUN19,140,C,0.315,85.59,4,198.15,ETH-28JUN19-140-C
