date_utc,amount,direction,indexPrice,instrument,iv,price,quantity,tickDirection,timeStamp,tradeId,tradeSeq
2019-03-22 10:17:46.137,24.0,buy,135.59,ETH-28JUN19-210-C,75.97,0.032,24.0,1,1553249866137,99314,1
2019-03-22 21:52:50.316,1.0,sell,136.07,ETH-28JUN19-210-C,73.06,0.027999999999999997,1.0,2,1553291570316,105191,2
2019-03-23 18:08:10.697,1.0,sell,135.97,ETH-28JUN19-210-C,72.89,0.027999999999999997,1.0,3,1553364490697,115290,3
2019-03-24 06:33:17.024,24.0,buy,135.43,ETH-28JUN19-210-C,72.62,0.027000000000000003,24.0,2,1553409197024,118769,4
2019-03-25 02:58:00.676,1.0,sell,135.73,ETH-28JUN19-210-C,72.64,0.027000000000000003,1.0,3,1553482680676,129351,5
2019-03-26 05:06:30.573,1.0,sell,133.2,ETH-28JUN19-210-C,72.24,0.024,1.0,2,1553576790573,151382,6
2019-03-26 20:46:33.979,99.0,sell,133.42,ETH-28JUN19-210-C,69.79,0.021,99.0,2,1553633193979,160642,7
2019-03-27 06:46:40.277,1.0,sell,136.6,ETH-28JUN19-210-C,66.35,0.02,1.0,2,1553669200277,169431,8
2019-03-27 14:16:15.790,5.0,buy,137.77,ETH-28JUN19-210-C,67.25,0.022,5.0,0,1553696175790,174966,9
2019-03-27 19:47:34.706,1.0,buy,137.72,ETH-28JUN19-210-C,68.11,0.023,1.0,0,1553716054706,177309,10
2019-03-29 03:14:07.497,1.0,sell,137.93,ETH-28JUN19-210-C,63.94,0.018000000000000002,1.0,2,1553829247497,190904,11
2019-03-29 16:15:10.312,1.0,sell,140.3,ETH-28JUN19-210-C,64.65,0.021,1.0,0,1553876110312,201703,12
2019-03-31 00:18:29.457,1.0,buy,141.98,ETH-28JUN19-210-C,69.74,0.029,1.0,0,1553991509457,222383,13
2019-03-31 15:12:52.623,1.0,sell,141.47,ETH-28JUN19-210-C,64.64,0.022,1.0,2,1554045172623,229104,14
2019-04-01 01:35:13.235,84.0,sell,141.98,ETH-28JUN19-210-C,66.48,0.024,84.0,0,1554082513235,238089,15
2019-04-01 07:00:15.722,1.0,buy,142.42,ETH-28JUN19-210-C,65.37,0.023,1.0,2,1554102015722,241185,16
2019-04-02 04:33:01.814,1.0,buy,142.79,ETH-28JUN19-210-C,65.56,0.023,1.0,3,1554179581814,253848,17
2019-04-02 15:56:58.600,1.0,buy,155.48,ETH-28JUN19-210-C,73.63,0.051,1.0,0,1554220618600,306700,18
2019-04-03 01:43:58.562,10.0,sell,167.92,ETH-28JUN19-210-C,68.56,0.06,10.0,0,1554255838562,343808,19
2019-04-03 02:09:45.460,10.0,buy,169.5,ETH-28JUN19-210-C,74.37,0.073,10.0,0,1554257385460,344479,20
2019-04-03 02:52:28.791,419.0,buy,175.96,ETH-28JUN19-210-C,74.28,0.084,419.0,0,1554259948791,348306,21
2019-04-04 03:42:08.289,1.0,sell,160.49,ETH-28JUN19-210-C,79.4,0.068,1.0,2,1554349328289,432079,22
2019-04-04 12:55:03.220,157.0,buy,162.24,ETH-28JUN19-210-C,84.5,0.079,157.0,0,1554382503220,442560,23
2019-04-04 21:30:19.777,1.0,buy,158.07,ETH-28JUN19-210-C,84.35,0.073,1.0,2,1554413419777,459448,24
2019-04-05 15:42:01.975,100.0,buy,164.32,ETH-28JUN19-210-C,78.92,0.073,100.0,3,1554478921975,482826,25
2019-04-05 23:20:49.747,1.0,buy,165.87,ETH-28JUN19-210-C,75.13,0.067,1.0,2,1554506449747,490654,26
2019-04-06 14:12:56.021,48.0,buy,164.03,ETH-28JUN19-210-C,78.8,0.07,48.0,0,1554559976021,500174,27
2019-04-06 20:00:44.204,48.0,buy,170.29,ETH-28JUN19-210-C,80.95,0.086,48.0,0,1554580844204,514822,28
2019-04-06 20:05:14.923,48.0,buy,170.58,ETH-28JUN19-210-C,80.84,0.086,48.0,1,1554581114923,515359,29
2019-04-08 02:49:55.906,36.0,sell,183.73,ETH-28JUN19-210-C,80.66,0.117,36.0,0,1554691795906,601735,30
2019-04-08 02:59:42.893,36.0,sell,182.66,ETH-28JUN19-210-C,83.5,0.122,36.0,0,1554692382893,602893,31
2019-04-08 09:01:41.229,36.0,buy,180.66,ETH-28JUN19-210-C,74.54,0.098,36.0,2,1554714101229,621293,32
2019-04-08 14:22:35.126,1.0,sell,177.83,ETH-28JUN19-210-C,74.63,0.091,1.0,2,1554733355126,637208,33
2019-04-08 16:38:57.384,54.0,buy,179.17,ETH-28JUN19-210-C,83.13,0.109,54.0,0,1554741537384,645010,34
2019-04-08 16:41:47.801,33.0,buy,179.18,ETH-28JUN19-210-C,84.53,0.11199999999999999,33.0,0,1554741707801,645158,35
2019-04-08 20:55:40.448,1.0,buy,181.58,ETH-28JUN19-210-C,78.85,0.105,1.0,2,1554756940448,659925,36
2019-04-09 14:55:04.966,54.0,buy,177.23,ETH-28JUN19-210-C,76.27,0.092,54.0,2,1554821704966,701517,37
2019-04-09 15:26:39.554,54.0,buy,177.84,ETH-28JUN19-210-C,75.12,0.092,54.0,3,1554823599554,702607,38
2019-04-09 15:26:41.592,21.0,buy,177.9,ETH-28JUN19-210-C,75.11,0.092,21.0,3,1554823601592,702614,39
2019-04-09 15:26:42.719,7.0,buy,177.89,ETH-28JUN19-210-C,75.06,0.092,7.0,3,1554823602719,702625,40
