date_utc,amount,direction,indexPrice,instrument,iv,price,quantity,tickDirection,timeStamp,tradeId,tradeSeq
2019-03-21 13:30:54.915,1.0,sell,137.27,ETH-29MAR19-135-P,84.1,0.040999999999999995,1.0,1,1553175054915,83971,1
2019-03-21 14:34:36.282,10.0,sell,136.44,ETH-29MAR19-135-P,80.0,0.042,10.0,0,1553178876282,86127,2
2019-03-21 16:01:35.392,1.0,sell,134.17,ETH-29MAR19-135-P,69.67,0.045,1.0,0,1553184095392,92729,3
2019-03-21 23:05:03.854,1.0,buy,134.78,ETH-29MAR19-135-P,66.63,0.04,1.0,2,1553209503854,95583,4
2019-03-22 00:18:13.966,1.0,sell,134.27,ETH-29MAR19-135-P,60.36,0.038,1.0,2,1553213893966,96138,5
2019-03-22 05:47:34.994,22.0,buy,134.77,ETH-29MAR19-135-P,65.98,0.038,22.0,3,1553233654994,97424,6
2019-03-22 15:55:31.815,250.0,sell,136.36,ETH-29MAR19-135-P,60.65,0.028999999999999998,250.0,2,1553270131815,102489,7
2019-03-22 20:31:13.667,1.0,buy,136.59,ETH-29MAR19-135-P,62.53,0.028999999999999998,1.0,3,1553286673667,104085,8
2019-03-22 20:46:11.181,1.0,sell,136.46,ETH-29MAR19-135-P,56.73,0.027000000000000003,1.0,2,1553287571181,104475,9
2019-03-23 02:44:24.208,22.0,sell,136.45,ETH-29MAR19-135-P,57.6,0.026000000000000002,22.0,2,1553309064208,106898,10
2019-03-23 07:34:44.082,1.0,sell,137.13,ETH-29MAR19-135-P,51.39,0.02,1.0,2,1553326484082,110582,11
2019-03-23 15:32:01.007,2.0,sell,135.83,ETH-29MAR19-135-P,56.24,0.025,2.0,0,1553355121007,114491,12
2019-03-23 20:12:39.005,1.0,sell,135.83,ETH-29MAR19-135-P,61.42,0.027000000000000003,1.0,0,1553371959005,115820,13
2019-03-24 03:52:03.752,10.0,sell,135.75,ETH-29MAR19-135-P,56.1,0.024,10.0,2,1553399523752,118190,14
2019-03-24 14:27:21.998,20.0,sell,135.85,ETH-29MAR19-135-P,54.23,0.022000000000000002,20.0,2,1553437641998,120850,15
2019-03-24 16:05:56.831,84.0,sell,135.6,ETH-29MAR19-135-P,56.54,0.023,84.0,0,1553443556831,121229,16
