date_utc,amount,direction,indexPrice,instrument,iv,price,quantity,tickDirection,timeStamp,tradeId,tradeSeq
2019-03-22 00:52:04.016,10.0,buy,134.49,ETH-29MAR19-155-C,76.44,0.005,10.0,1,1553215924016,96330,1
2019-03-22 01:11:39.790,3.0,buy,134.81,ETH-29MAR19-155-C,75.54,0.005,3.0,1,1553217099790,96536,2
2019-03-22 01:23:19.591,3.0,sell,134.57,ETH-29MAR19-155-C,72.11,0.004,3.0,2,1553217799591,96584,3
2019-03-22 02:30:16.456,7.0,buy,134.62,ETH-29MAR19-155-C,72.29,0.004,7.0,3,1553221816456,96818,4
2019-03-22 03:51:09.543,10.0,buy,134.7,ETH-29MAR19-155-C,72.29,0.004,10.0,3,1553226669543,97100,5
2019-03-22 03:51:16.263,10.0,buy,134.7,ETH-29MAR19-155-C,72.26,0.004,10.0,3,1553226676263,97101,6
2019-03-22 03:51:29.014,1.0,buy,134.68,ETH-29MAR19-155-C,72.35,0.004,1.0,3,1553226689014,97102,7
2019-03-22 03:51:31.775,1.0,buy,134.67,ETH-29MAR19-155-C,72.38,0.004,1.0,3,1553226691775,97103,8
2019-03-22 06:35:32.248,30.0,sell,134.67,ETH-29MAR19-155-C,67.82,0.003,30.0,2,1553236532248,97578,9
2019-03-22 15:45:23.350,1.0,buy,136.39,ETH-29MAR19-155-C,70.92,0.004,1.0,0,1553269523350,102450,10
2019-03-22 21:59:46.739,1.0,sell,136.04,ETH-29MAR19-155-C,62.28,0.002,1.0,2,1553291986739,105261,11
