contract,date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice
BTC-19APR19-5500-P,2019-04-06,BTC,19APR19,5500,P,0.098,67.88,1,5114.77
BTC-19APR19-5500-P,2019-04-08,BTC,19APR19,5500,P,0.095,73.72,3,5138.23
BTC-19APR19-5500-P,2019-04-10,BTC,19APR19,5500,P,0.066,70.24,4,5290.63
BTC-19APR19-5500-P,2019-04-11,BTC,19APR19,5500,P,0.099,58.71,2,5037.68
BTC-19APR19-5500-P,2019-04-12,BTC,19APR19,5500,P,0.103,70.81,1,5031.95
BTC-19APR19-5500-P,2019-04-14,BTC,19APR19,5500,P,0.092,74.67,1,5081.9
BTC-19APR19-5500-P,2019-04-15,BTC,19APR19,5500,P,0.075,45.0,1,5121.48
BTC-19APR19-5500-P,2019-04-16,BTC,19APR19,5500,P,0.0465,0.0,13,5205.25
BTC-19APR19-5500-P,2019-04-17,BTC,19APR19,5500,P,0.0555,63.57,3,5221.34
BTC-27SEP19-5500-P,2019-03-10,BTC,27SEP19,5500,P,0.4655,51.65,1,3889.63
BTC-27SEP19-5500-P,2019-03-12,BTC,27SEP19,5500,P,0.469,52.15,7,3873.36
BTC-27SEP19-5500-P,2019-03-25,BTC,27SEP19,5500,P,0.4370000000000001,51.77,1,3969.72
BTC-27SEP19-5500-P,2019-03-28,BTC,27SEP19,5500,P,0.442,57.69,2,4010.62
BTC-27SEP19-5500-P,2019-04-03,BTC,27SEP19,5500,P,0.22899999999999998,66.45,1,5129.2
BTC-27SEP19-5500-P,2019-04-08,BTC,27SEP19,5500,P,0.1805,61.5,1,5306.25
BTC-27SEP19-5500-P,2019-04-10,BTC,27SEP19,5500,P,0.2045,67.06,1,5257.21
BTC-27SEP19-5500-P,2019-04-11,BTC,27SEP19,5500,P,0.2155,62.42,2,5101.65
BTC-27SEP19-5500-P,2019-04-14,BTC,27SEP19,5500,P,0.1945,50.98,2,5072.33
BTC-27SEP19-5500-P,2019-04-20,BTC,27SEP19,5500,P,0.177,59.29,1,5308.13
BTC-27SEP19-5500-P,2019-04-21,BTC,27SEP19,5500,P,0.1805,62.1,1,5333.52
BTC-27SEP19-5500-P,2019-04-22,BTC,27SEP19,5500,P,0.1675,60.08,2,5389.35
BTC-27SEP19-5500-P,2019-04-23,BTC,27SEP19,5500,P,0.1505,60.17,2,5559.8
BTC-27SEP19-5500-P,2019-04-24,BTC,27SEP19,5500,P,0.1685,60.66,5,5422.69
BTC-27SEP19-5500-P,2019-04-25,BTC,27SEP19,5500,P,0.2015,58.62,3,5139.47
BTC-27SEP19-5500-P,2019-04-29,BTC,27SEP19,5500,P,0.2035,58.86,2,5126.0
BTC-27SEP19-5500-P,2019-05-01,BTC,27SEP19,5500,P,0.1885,60.92,1,5297.52
BTC-27SEP19-5500-P,2019-05-03,BTC,27SEP19,5500,P,0.1375,60.61,3,5670.24
BTC-27SEP19-5500-P,2019-05-04,BTC,27SEP19,5500,P,0.1525,61.61,3,5540.22
BTC-27SEP19-5500-P,2019-05-06,BTC,27SEP19,5500,P,0.134,61.24,7,5698.5
BTC-27SEP19-5500-P,2019-05-07,BTC,27SEP19,5500,P,0.12,62.21,8,5887.26
BTC-27SEP19-5500-P,2019-05-08,BTC,27SEP19,5500,P,0.14300000000000002,64.7,1,5737.08
BTC-27SEP19-5500-P,2019-05-11,BTC,27SEP19,5500,P,0.078,69.65,11,6812.0
BTC-27SEP19-5500-P,2019-05-12,BTC,27SEP19,5500,P,0.064,75.91,1,7443.68
ETH-29MAR19-165-C,2019-03-21,ETH,29MAR19,165,C,0.001,71.28,4,134.69
ETH-29MAR19-165-C,2019-03-22,ETH,29MAR19,165,C,0.002,81.84,30,135.67
ETH-29MAR19-165-C,2019-03-23,ETH,29MAR19,165,C,0.001,75.66,1,136.18
ETH-29MAR19-165-C,2019-03-24,ETH,29MAR19,165,C,0.001,85.88,2,136.03
ETH-24MAY19-150-P,2019-05-10,ETH,24MAY19,150,P,0.011,74.62,1,173.45
ETH-24MAY19-150-P,2019-05-12,ETH,24MAY19,150,P,0.006999999999999999,106.71,1,195.19
BTC-12APR19-3500-P,2019-03-29,BTC,12APR19,3500,P,0.0015,47.1,1,4095.82
BTC-12APR19-3500-P,2019-03-30,BTC,12APR19,3500,P,0.002,50.13,1,4071.96
BTC-12APR19-3500-P,2019-03-31,BTC,12APR19,3500,P,0.001,47.25,2,4092.92
BTC-12APR19-3500-P,2019-04-01,BTC,12APR19,3500,P,0.0005,46.94,2,4134.05
BTC-12APR19-3500-P,2019-04-02,BTC,12APR19,3500,P,0.0005,85.16,2,4798.32
BTC-12APR19-4750-C,2019-03-29,BTC,12APR19,4750,C,0.0025,50.07,4,4064.97
BTC-12APR19-4750-C,2019-03-30,BTC,12APR19,4750,C,0.002,46.06,1,4112.16
BTC-12APR19-4750-C,2019-03-31,BTC,12APR19,4750,C,0.0015,47.99,4,4089.38
BTC-12APR19-4750-C,2019-04-01,BTC,12APR19,4750,C,0.001,44.51,4,4129.45
BTC-12APR19-4750-C,2019-04-02,BTC,12APR19,4750,C,0.048,64.14,62,4815.59
BTC-12APR19-4750-C,2019-04-03,BTC,12APR19,4750,C,0.105,77.49,6,5230.4
BTC-12APR19-4750-C,2019-04-04,BTC,12APR19,4750,C,0.057,82.1,7,4843.67
BTC-12APR19-4750-C,2019-04-05,BTC,12APR19,4750,C,0.0705,71.75,3,5025.29
BTC-12APR19-4750-C,2019-04-06,BTC,12APR19,4750,C,0.08,71.48,1,5107.15
BTC-12APR19-4750-C,2019-04-07,BTC,12APR19,4750,C,0.09,88.92,4,5161.91
BTC-12APR19-4750-C,2019-04-08,BTC,12APR19,4750,C,0.0915,74.19,2,5206.46
BTC-12APR19-4750-C,2019-04-10,BTC,12APR19,4750,C,0.101,99.96,10,5277.22
BTC-12APR19-4750-C,2019-04-11,BTC,12APR19,4750,C,0.059,0.0,4,5052.46
BTC-12APR19-4750-C,2019-04-12,BTC,12APR19,4750,C,0.0465,0.0,1,4985.01
BTC-29MAR19-3375-C,2019-03-23,BTC,29MAR19,3375,C,0.1445,0.0,1,3974.42
BTC-29MAR19-3375-C,2019-03-25,BTC,29MAR19,3375,C,0.134,0.0,4,3906.0
BTC-17MAY19-6500-P,2019-05-09,BTC,17MAY19,6500,P,0.0815,70.89,4,6106.84
BTC-17MAY19-6500-P,2019-05-10,BTC,17MAY19,6500,P,0.058,64.14,23,6252.79
BTC-17MAY19-6500-P,2019-05-11,BTC,17MAY19,6500,P,0.0125,112.56,129,7361.74
BTC-17MAY19-6500-P,2019-05-12,BTC,17MAY19,6500,P,0.0175,103.87,44,7036.25
ETH-17MAY19-220-C,2019-05-07,ETH,17MAY19,220,C,0.005,97.79,13,172.79
ETH-17MAY19-220-C,2019-05-09,ETH,17MAY19,220,C,0.003,103.44,7,171.21
ETH-17MAY19-220-C,2019-05-10,ETH,17MAY19,220,C,0.002,98.39,4,172.78
ETH-17MAY19-220-C,2019-05-11,ETH,17MAY19,220,C,0.018000000000000002,109.27,23,198.3
ETH-17MAY19-220-C,2019-05-12,ETH,17MAY19,220,C,0.02,105.36,10,203.04
BTC-27DEC19-10000-C,2019-03-27,BTC,27DEC19,10000,C,0.0195,65.8,4,4007.46
BTC-27DEC19-10000-C,2019-03-28,BTC,27DEC19,10000,C,0.02,66.3,5,4009.3
BTC-27DEC19-10000-C,2019-03-29,BTC,27DEC19,10000,C,0.023,67.36,5,4074.91
BTC-27DEC19-10000-C,2019-03-30,BTC,27DEC19,10000,C,0.0225,67.1,6,4078.21
BTC-27DEC19-10000-C,2019-03-31,BTC,27DEC19,10000,C,0.02,65.56,7,4088.64
BTC-27DEC19-10000-C,2019-04-01,BTC,27DEC19,10000,C,0.02,65.35,5,4115.2
BTC-27DEC19-10000-C,2019-04-02,BTC,27DEC19,10000,C,0.0405,66.82,11,4902.29
BTC-27DEC19-10000-C,2019-04-03,BTC,27DEC19,10000,C,0.0555,68.98,3,5251.63
BTC-27DEC19-10000-C,2019-04-04,BTC,27DEC19,10000,C,0.0475,69.81,3,4908.43
